rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,fit_seconds,warning_count,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
0.0,0,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,weak,1.0,0.8774448999902233,0,boosting_total_leaves,6200.0,12200.0,,,,,,6200.0,200.0,,200.0,1.0,,0.5833333333333334
0.0,0,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,medium,0.5,1.716823499999009,0,boosting_total_leaves,13047.0,25794.0,,,,,,13047.0,300.0,,300.0,1.0,,0.8333333333333334
0.0,0,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,weak,1.0,0.21911179996095598,0,mlp_parameter_count,113.0,113.0,,,,,,,,113.0,67.0,1.0,,0.25
0.0,0,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,medium,0.5,0.20370190002722666,0,mlp_parameter_count,4609.0,4609.0,,,,,,,,4609.0,35.0,1.0,,0.5833333333333334
0.0,0,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,strong,0.0,0.40347409999230877,0,mlp_parameter_count,25601.0,25601.0,,,,,,,,25601.0,26.0,1.0,,0.9166666666666666
0.0,1,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,strong,0.0,0.006575900013558567,0,effective_degrees_of_freedom,4.0656816731736445,6.0,4.0656816731736445,,,,,,,,6.0,1.0,,0.3333333333333333
0.0,1,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,medium,0.5,0.0074699000106193125,0,effective_degrees_of_freedom,4.879580534984712,6.0,4.879580534984712,,,,,,,,10.0,1.0,,0.6666666666666666
0.0,1,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,0.00707609998062253,0,effective_degrees_of_freedom,4.994797054151012,6.0,4.994797054151012,,,,,,,,10.0,1.0,,1.0
0.0,1,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,0.07850260002305731,0,kernel_effective_rank,2.300136869087287,2766.0,,2.300136869087287,0.30733333333333335,,,,,,,1.0,0.05,0.16666666666666666
0.0,1,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,weak,1.0,0.09036939998622984,0,kernel_effective_rank,10.481372882414894,2280.0,,10.481372882414894,0.25333333333333335,,,,,,,1.0,0.20000000000000004,0.5
0.0,1,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,strong,0.0,0.17310529999667779,0,kernel_effective_rank,159.42329575012855,5862.0,,159.42329575012855,0.6513333333333333,,,,,,,1.0,1.0,0.8333333333333334
0.0,1,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,weak,1.0,0.3227815999998711,0,tree_total_leaves,3067.0,5934.0,,,,3067.0,4.0,,,,,1.0,,0.16666666666666666
0.0,1,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,strong,0.0,0.39751939999405295,0,tree_total_leaves,12366.0,24482.0,,,,12366.0,8.976,,,,,1.0,,0.6666666666666666
0.0,1,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,medium,0.5,0.4923966000205837,0,tree_total_leaves,34650.0,69000.0,,,,34650.0,12.87,,,,,1.0,,1.0
0.0,1,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,strong,0.0,0.15941729996120557,0,boosting_total_leaves,700.0,1300.0,,,,,,700.0,100.0,,100.0,1.0,,0.25
0.0,1,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,weak,1.0,0.9227722999639809,0,boosting_total_leaves,6200.0,12200.0,,,,,,6200.0,200.0,,200.0,1.0,,0.5833333333333334
