geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.9858333333333333,0.007138899993151426,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.9733333333333334,0.024347500002477318,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.9766666666666667,0.02122669998789206,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.9616666666666667,0.08634090004488826,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.7916666666666666,0.3863266000407748,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.8075,0.4808842000202276,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.8633333333333333,0.5224757000105456,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.9025,0.13030250003794208,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.8608333333333333,0.34505649999482557,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.8758333333333334,0.5128724999958649,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.8541666666666666,0.11276499996893108,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.9508333333333333,0.10024269996210933,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.7225,0.13803440000629053,0,
