rho_train,capacity_tier,family_a,family_b,eligible,matched,coverage,mean_gap_difference_a_minus_b,ci_lower,ci_upper,mean_match_distance,adequate_coverage
0.7,medium,logistic_regression,mlp,10,1,0.1,-0.0924000000000001,-0.0924000000000001,-0.0924000000000001,0.2631398444804705,False
0.7,medium,rbf_svm,random_forest,10,0,0.0,,,,,False
0.7,medium,rbf_svm,gradient_boosting,10,1,0.1,-0.020600000000000118,-0.020600000000000118,-0.020600000000000118,0.25425354948554274,False
0.7,medium,rbf_svm,mlp,10,2,0.2,-0.0509,-0.1030666666666667,0.0012666666666666937,0.5640806619403316,False
0.7,medium,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.7,medium,random_forest,mlp,10,1,0.1,0.09453333333333352,0.09453333333333352,0.09453333333333352,0.5545951294194326,False
0.7,medium,gradient_boosting,mlp,10,5,0.5,-0.029986666666666627,-0.08329333333333329,0.023320000000000028,0.5202616476870213,True
0.7,high,logistic_regression,rbf_svm,10,0,0.0,,,,,False
0.7,high,logistic_regression,random_forest,10,0,0.0,,,,,False
0.7,high,logistic_regression,gradient_boosting,10,0,0.0,,,,,False
0.7,high,logistic_regression,mlp,10,0,0.0,,,,,False
0.7,high,rbf_svm,random_forest,10,2,0.2,-0.010166666666666602,-0.011466666666666708,-0.008866666666666495,0.5045968626225963,False
0.7,high,rbf_svm,gradient_boosting,10,2,0.2,0.00833333333333336,0.003800000000000109,0.01286666666666661,0.5672184113890758,False
0.7,high,rbf_svm,mlp,10,2,0.2,0.055600000000000066,0.04580000000000012,0.06540000000000001,0.28655172207320667,False
0.7,high,random_forest,gradient_boosting,10,2,0.2,0.0169,0.012666666666666604,0.021133333333333393,0.33258562479667275,False
0.7,high,random_forest,mlp,10,1,0.1,0.05466666666666661,0.05466666666666661,0.05466666666666661,0.5596553174855168,False
0.7,high,gradient_boosting,mlp,10,3,0.3,0.04611111111111118,0.0360666666666668,0.06026666666666672,0.5235666328302409,False
0.9,low,logistic_regression,rbf_svm,10,4,0.4,-0.003433333333333316,-0.00716666666666671,-0.0008333333333332971,0.5413273812423243,False
0.9,low,logistic_regression,random_forest,10,0,0.0,,,,,False
0.9,low,logistic_regression,gradient_boosting,10,1,0.1,-0.10166666666666674,-0.10166666666666674,-0.10166666666666674,0.2872343956380519,False
0.9,low,logistic_regression,mlp,10,0,0.0,,,,,False
0.9,low,rbf_svm,random_forest,10,0,0.0,,,,,False
0.9,low,rbf_svm,gradient_boosting,10,2,0.2,-0.09386666666666671,-0.09520000000000006,-0.09253333333333336,0.5767166558156873,False
0.9,low,rbf_svm,mlp,10,2,0.2,0.07726666666666654,0.07593333333333319,0.07859999999999989,0.5676890299494077,False
0.9,low,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.9,low,random_forest,mlp,10,0,0.0,,,,,False
0.9,low,gradient_boosting,mlp,10,0,0.0,,,,,False
0.9,medium,logistic_regression,rbf_svm,10,1,0.1,0.0118000000000002,0.0118000000000002,0.0118000000000002,0.5339938060369462,False
0.9,medium,logistic_regression,random_forest,10,0,0.0,,,,,False
0.9,medium,logistic_regression,gradient_boosting,10,1,0.1,-0.0978,-0.0978,-0.0978,0.5220637800780551,False
0.9,medium,logistic_regression,mlp,10,2,0.2,0.020100000000000007,-0.004866666666666686,0.0450666666666667,0.29016432011823484,False
0.9,medium,rbf_svm,random_forest,10,0,0.0,,,,,False
0.9,medium,rbf_svm,gradient_boosting,10,3,0.3,-0.09960000000000015,-0.11680000000000018,-0.07800000000000024,0.1086149719536438,False
0.9,medium,rbf_svm,mlp,10,1,0.1,-0.02360000000000012,-0.02360000000000012,-0.02360000000000012,0.5861549730338332,False
0.9,medium,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.9,medium,random_forest,mlp,10,0,0.0,,,,,False
0.9,medium,gradient_boosting,mlp,10,2,0.2,0.09306666666666669,0.09293333333333331,0.09320000000000006,0.5545951294194329,False
0.9,high,logistic_regression,rbf_svm,10,0,0.0,,,,,False
0.9,high,logistic_regression,random_forest,10,0,0.0,,,,,False
0.9,high,logistic_regression,gradient_boosting,10,1,0.1,-0.11573333333333347,-0.11573333333333347,-0.11573333333333347,0.5218505402586239,False
0.9,high,logistic_regression,mlp,10,0,0.0,,,,,False
0.9,high,rbf_svm,random_forest,10,2,0.2,-0.14946666666666666,-0.1528000000000001,-0.14613333333333323,0.5329918942894523,False
0.9,high,rbf_svm,gradient_boosting,10,1,0.1,-0.10166666666666674,-0.10166666666666674,-0.10166666666666674,0.5,False
0.9,high,rbf_svm,mlp,10,2,0.2,0.0006333333333333746,-0.008466666666666622,0.009733333333333372,0.2713639983476654,False
0.9,high,random_forest,gradient_boosting,10,4,0.4,0.03556666666666669,0.027800000000000047,0.04426666666666673,0.10944777936927994,False
0.9,high,random_forest,mlp,10,0,0.0,,,,,False
0.9,high,gradient_boosting,mlp,10,1,0.1,0.12793333333333334,0.12793333333333334,0.12793333333333334,0.5744274500744924,False
