geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
baseline,"[1.2, -1.0, 0.8]",0.9,0,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.92175,1.884568300039973,0,
baseline,"[1.2, -1.0, 0.8]",0.9,0,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.97225,0.338359399989713,0,
baseline,"[1.2, -1.0, 0.8]",0.9,0,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.9695,0.2591748000122607,0,
baseline,"[1.2, -1.0, 0.8]",0.9,0,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.94,0.5186310000135563,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.9925,0.012668400013353676,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.99475,0.013421899988316,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.99775,0.014474699972197413,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.99225,0.3539749999763444,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.99275,0.20035629998892546,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.9775,0.7929509000387043,0,
