fit_id,rho_train,dataset_seed,width,schedule,accuracy,ood_gap,rho_ood
rho0_seed06_width512_constant,0.0,6,512,constant,0.896,0.006000000000000005,-0.3
rho0_seed06_width512_constant,0.0,6,512,constant,0.9186666666666666,-0.016666666666666607,0.3
rho0_seed06_width512_cosine,0.0,6,512,cosine,0.905,0.0050000000000000044,-0.9
rho0_seed06_width512_cosine,0.0,6,512,cosine,0.896,0.014000000000000012,-0.6
rho0_seed06_width512_cosine,0.0,6,512,cosine,0.9076666666666666,0.0023333333333334094,-0.3
rho0_seed06_width512_cosine,0.0,6,512,cosine,0.9156666666666666,-0.005666666666666598,0.3
rho0_seed06_width64_constant,0.0,6,64,constant,0.9036666666666666,0.00666666666666671,-0.9
rho0_seed06_width64_constant,0.0,6,64,constant,0.8963333333333333,0.014000000000000012,-0.6
rho0_seed06_width64_constant,0.0,6,64,constant,0.9106666666666666,-0.0003333333333332966,-0.3
rho0_seed06_width64_constant,0.0,6,64,constant,0.9146666666666666,-0.0043333333333333,0.3
rho0_seed06_width64_cosine,0.0,6,64,cosine,0.9053333333333333,0.004666666666666708,-0.9
rho0_seed06_width64_cosine,0.0,6,64,cosine,0.898,0.01200000000000001,-0.6
rho0_seed06_width64_cosine,0.0,6,64,cosine,0.9073333333333333,0.002666666666666706,-0.3
rho0_seed06_width64_cosine,0.0,6,64,cosine,0.917,-0.007000000000000006,0.3
rho0_seed06_width8_constant,0.0,6,8,constant,0.9066666666666666,0.005333333333333412,-0.9
rho0_seed06_width8_constant,0.0,6,8,constant,0.9,0.01200000000000001,-0.6
rho0_seed06_width8_constant,0.0,6,8,constant,0.9103333333333333,0.0016666666666667052,-0.3
rho0_seed06_width8_constant,0.0,6,8,constant,0.914,-0.0020000000000000018,0.3
rho0_seed06_width8_cosine,0.0,6,8,cosine,0.9083333333333333,0.0033333333333332993,-0.9
rho0_seed06_width8_cosine,0.0,6,8,cosine,0.9003333333333333,0.011333333333333306,-0.6
rho0_seed06_width8_cosine,0.0,6,8,cosine,0.912,-0.00033333333333340764,-0.3
rho0_seed06_width8_cosine,0.0,6,8,cosine,0.915,-0.0033333333333334103,0.3
rho0_seed07_width512_constant,0.0,7,512,constant,0.8836666666666667,0.029333333333333322,-0.9
rho0_seed07_width512_constant,0.0,7,512,constant,0.896,0.017000000000000015,-0.6
rho0_seed07_width512_constant,0.0,7,512,constant,0.8953333333333333,0.01766666666666672,-0.3
rho0_seed07_width512_constant,0.0,7,512,constant,0.9066666666666666,0.006333333333333413,0.3
rho0_seed07_width512_cosine,0.0,7,512,cosine,0.899,0.012666666666666604,-0.9
rho0_seed07_width512_cosine,0.0,7,512,cosine,0.907,0.004666666666666597,-0.6
rho0_seed07_width512_cosine,0.0,7,512,cosine,0.904,0.0076666666666665995,-0.3
rho0_seed07_width512_cosine,0.0,7,512,cosine,0.905,0.006666666666666599,0.3
rho0_seed07_width64_constant,0.0,7,64,constant,0.897,0.016666666666666607,-0.9
rho0_seed07_width64_constant,0.0,7,64,constant,0.903,0.010666666666666602,-0.6
rho0_seed07_width64_constant,0.0,7,64,constant,0.903,0.010666666666666602,-0.3
rho0_seed07_width64_constant,0.0,7,64,constant,0.9106666666666666,0.0030000000000000027,0.3
rho0_seed07_width64_cosine,0.0,7,64,cosine,0.9033333333333333,0.009666666666666712,-0.9
rho0_seed07_width64_cosine,0.0,7,64,cosine,0.9076666666666666,0.005333333333333412,-0.6
rho0_seed07_width64_cosine,0.0,7,64,cosine,0.9083333333333333,0.004666666666666708,-0.3
rho0_seed07_width64_cosine,0.0,7,64,cosine,0.9083333333333333,0.004666666666666708,0.3
rho0_seed07_width8_constant,0.0,7,8,constant,0.9033333333333333,0.012666666666666715,-0.9
rho0_seed07_width8_constant,0.0,7,8,constant,0.9093333333333333,0.00666666666666671,-0.6
rho0_seed07_width8_constant,0.0,7,8,constant,0.91,0.006000000000000005,-0.3
rho0_seed07_width8_constant,0.0,7,8,constant,0.9076666666666666,0.008333333333333415,0.3
rho0_seed07_width8_cosine,0.0,7,8,cosine,0.9076666666666666,0.009333333333333416,-0.9
rho0_seed07_width8_cosine,0.0,7,8,cosine,0.9103333333333333,0.00666666666666671,-0.6
rho0_seed07_width8_cosine,0.0,7,8,cosine,0.9093333333333333,0.0076666666666667105,-0.3
rho0_seed07_width8_cosine,0.0,7,8,cosine,0.9096666666666666,0.007333333333333414,0.3
rho0_seed08_width512_constant,0.0,8,512,constant,0.9233333333333333,-0.01533333333333331,-0.9
rho0_seed08_width512_constant,0.0,8,512,constant,0.9153333333333333,-0.007333333333333303,-0.6
rho0_seed08_width512_constant,0.0,8,512,constant,0.9133333333333333,-0.005333333333333301,-0.3
rho0_seed08_width512_constant,0.0,8,512,constant,0.8903333333333333,0.01766666666666672,0.3
rho0_seed08_width512_cosine,0.0,8,512,cosine,0.9163333333333333,-0.008000000000000007,-0.9
rho0_seed08_width512_cosine,0.0,8,512,cosine,0.9093333333333333,-0.0010000000000000009,-0.6
rho0_seed08_width512_cosine,0.0,8,512,cosine,0.9093333333333333,-0.0010000000000000009,-0.3
rho0_seed08_width512_cosine,0.0,8,512,cosine,0.9053333333333333,0.0030000000000000027,0.3
rho0_seed08_width64_constant,0.0,8,64,constant,0.9176666666666666,-0.0076666666666665995,-0.9
rho0_seed08_width64_constant,0.0,8,64,constant,0.916,-0.006000000000000005,-0.6
rho0_seed08_width64_constant,0.0,8,64,constant,0.9136666666666666,-0.003666666666666596,-0.3
rho0_seed08_width64_constant,0.0,8,64,constant,0.9036666666666666,0.006333333333333413,0.3
rho0_seed08_width64_cosine,0.0,8,64,cosine,0.919,-0.006333333333333413,-0.9
rho0_seed08_width64_cosine,0.0,8,64,cosine,0.9113333333333333,0.0013333333333332975,-0.6
rho0_seed08_width64_cosine,0.0,8,64,cosine,0.913,-0.00033333333333340764,-0.3
rho0_seed08_width64_cosine,0.0,8,64,cosine,0.9046666666666666,0.008000000000000007,0.3
rho0_seed08_width8_constant,0.0,8,8,constant,0.9176666666666666,-0.008000000000000007,-0.9
rho0_seed08_width8_constant,0.0,8,8,constant,0.915,-0.005333333333333412,-0.6
rho0_seed08_width8_constant,0.0,8,8,constant,0.9136666666666666,-0.0040000000000000036,-0.3
rho0_seed08_width8_constant,0.0,8,8,constant,0.9056666666666666,0.0040000000000000036,0.3
rho0_seed08_width8_cosine,0.0,8,8,cosine,0.918,-0.0076666666666667105,-0.9
rho0_seed08_width8_cosine,0.0,8,8,cosine,0.914,-0.003666666666666707,-0.6
rho0_seed08_width8_cosine,0.0,8,8,cosine,0.9106666666666666,-0.0003333333333332966,-0.3
rho0_seed08_width8_cosine,0.0,8,8,cosine,0.9063333333333333,0.0040000000000000036,0.3
