batch_size,cosine_terminal_lr,dataset_seed,epochs,fidelity_drop_from_20,fidelity_min,fidelity_recovery,final_ood_gap,fit_id,fit_seconds,init_seed,initial_lr,momentum,n_iid_test,n_probe,n_train,n_validation,prereg_frozen_sha,rho_train,sat,schedule,shuffle_seed,status,terminal_d3,terminal_fidelity,terminal_iid_accuracy,terminal_train_loss,trajectory_class,weight_decay,width,source_file
64,0.001,3,200,0.0,0.98625,0.0025000000000000577,-0.011916666666666659,rho0_seed03_width8_cosine,1.8981364999999641,3374278890,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2671242619,SUCCESS,0.011666666666666667,0.98875,0.9,0.19647427264760703,No-acquisition / no-distortion,0.0001,8,rho0_seed03_width8_cosine.json
64,0.001,4,200,0.016249999999999987,0.967,0.009500000000000064,0.015916666666666746,rho0_seed04_width512_constant,10.161379600000146,3202033865,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2260450524,SUCCESS,0.035,0.9765,0.915,0.15978278215322406,No-acquisition / no-distortion,0.0001,512,rho0_seed04_width512_constant.json
64,0.001,4,200,0.009000000000000008,0.97425,0.005250000000000088,0.014833333333333393,rho0_seed04_width512_cosine,10.073764900000242,3202033865,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2260450524,SUCCESS,0.026333333333333334,0.9795,0.917,0.16860189508525456,No-acquisition / no-distortion,0.0001,512,rho0_seed04_width512_cosine.json
64,0.001,4,200,0.011750000000000038,0.97975,0.006750000000000034,0.013083333333333363,rho0_seed04_width64_constant,2.8857599000002665,1521019605,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2260450524,SUCCESS,0.022333333333333334,0.9865,0.917,0.1777304630254036,No-acquisition / no-distortion,0.0001,64,rho0_seed04_width64_constant.json
64,0.001,4,200,0.006000000000000005,0.98575,0.00275000000000003,0.01375000000000004,rho0_seed04_width64_cosine,2.6352915999996185,1521019605,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2260450524,SUCCESS,0.014666666666666666,0.9885,0.9183333333333333,0.18065458371584708,No-acquisition / no-distortion,0.0001,64,rho0_seed04_width64_cosine.json
64,0.001,4,200,0.006249999999999978,0.97975,0.015249999999999986,0.01775000000000007,rho0_seed04_width8_constant,2.602339999999458,1779554657,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2260450524,SUCCESS,0.011666666666666667,0.995,0.921,0.18984546360485524,No-acquisition / no-distortion,0.0001,8,rho0_seed04_width8_constant.json
64,0.001,4,200,0.0,0.98575,0.00924999999999998,0.014666666666666661,rho0_seed04_width8_cosine,2.020580800000971,1779554657,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2260450524,SUCCESS,0.008666666666666666,0.995,0.9196666666666666,0.1903389014731245,No-acquisition / no-distortion,0.0001,8,rho0_seed04_width8_cosine.json
64,0.001,5,200,0.012500000000000067,0.968,0.00824999999999998,-0.002750000000000058,rho0_seed05_width512_constant,10.081944799998382,4031576071,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3858552751,SUCCESS,0.031,0.97625,0.9106666666666666,0.1674804643214805,No-acquisition / no-distortion,0.0001,512,rho0_seed05_width512_constant.json
64,0.001,5,200,0.0040000000000000036,0.9765,0.003249999999999975,8.333333333335191e-05,rho0_seed05_width512_cosine,10.061598700000104,4031576071,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3858552751,SUCCESS,0.025666666666666667,0.97975,0.915,0.17571988303708116,No-acquisition / no-distortion,0.0001,512,rho0_seed05_width512_cosine.json
64,0.001,5,200,0.004750000000000032,0.984,0.00024999999999997247,-0.0013333333333334085,rho0_seed05_width64_constant,2.6173085999998875,2104286804,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3858552751,SUCCESS,0.021333333333333333,0.98425,0.9156666666666666,0.1871336559892174,No-acquisition / no-distortion,0.0001,64,rho0_seed05_width64_constant.json
64,0.001,5,200,0.0014999999999999458,0.9875,0.00024999999999997247,0.0012499999999999734,rho0_seed05_width64_cosine,2.6086857999998756,2104286804,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3858552751,SUCCESS,0.018333333333333333,0.98775,0.9176666666666666,0.19042772553681275,No-acquisition / no-distortion,0.0001,64,rho0_seed05_width64_cosine.json
64,0.001,5,200,0.003750000000000031,0.986,0.0025000000000000577,-0.0006666666666667043,rho0_seed05_width8_constant,1.5186998000008316,1644982609,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3858552751,SUCCESS,0.02,0.9885,0.9166666666666666,0.1991755831144198,No-acquisition / no-distortion,0.0001,8,rho0_seed05_width8_constant.json
64,0.001,5,200,0.0,0.98975,0.0020000000000000018,-0.0011666666666666214,rho0_seed05_width8_cosine,1.6381629000006797,1644982609,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3858552751,SUCCESS,0.013333333333333334,0.99175,0.916,0.19931268123841117,No-acquisition / no-distortion,0.0001,8,rho0_seed05_width8_cosine.json
64,0.001,6,200,0.013500000000000068,0.966,0.007500000000000062,0.007000000000000034,rho0_seed06_width512_constant,9.98868880000009,3091971067,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2686479512,SUCCESS,0.049,0.9735,0.902,0.16976500374310785,No-acquisition / no-distortion,0.0001,512,rho0_seed06_width512_constant.json
64,0.001,6,200,0.008750000000000036,0.97175,0.005249999999999977,0.003916666666666707,rho0_seed06_width512_cosine,9.811206599999423,3091971067,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2686479512,SUCCESS,0.025333333333333333,0.977,0.91,0.17684391741779967,No-acquisition / no-distortion,0.0001,512,rho0_seed06_width512_cosine.json
64,0.001,6,200,0.008749999999999925,0.9795,0.004249999999999976,0.004000000000000031,rho0_seed06_width64_constant,2.578796300000249,1673475948,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2686479512,SUCCESS,0.025,0.98375,0.9103333333333333,0.18522721521854918,No-acquisition / no-distortion,0.0001,64,rho0_seed06_width64_constant.json
64,0.001,6,200,0.0010000000000000009,0.9875,0.0010000000000000009,0.0030833333333333546,rho0_seed06_width64_cosine,2.582410200000595,1673475948,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2686479512,SUCCESS,0.019333333333333334,0.9885,0.91,0.18818826458084303,No-acquisition / no-distortion,0.0001,64,rho0_seed06_width64_cosine.json
64,0.001,6,200,0.00275000000000003,0.99075,0.0030000000000000027,0.0042500000000000315,rho0_seed06_width8_constant,1.5578483999997843,3286526750,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2686479512,SUCCESS,0.011,0.99375,0.912,0.1966405743325359,No-acquisition / no-distortion,0.0001,8,rho0_seed06_width8_constant.json
64,0.001,6,200,0.0,0.99375,0.0017500000000000293,0.002749999999999947,rho0_seed06_width8_cosine,1.5811637999995583,3286526750,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2686479512,SUCCESS,0.009,0.9955,0.9116666666666666,0.19743181937984944,No-acquisition / no-distortion,0.0001,8,rho0_seed06_width8_cosine.json
64,0.001,7,200,0.017999999999999905,0.96525,0.011249999999999982,0.017583333333333367,rho0_seed07_width512_constant,10.147686500000418,2368541726,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2691028627,SUCCESS,0.043333333333333335,0.9765,0.913,0.165018264819331,No-acquisition / no-distortion,0.0001,512,rho0_seed07_width512_constant.json
64,0.001,7,200,0.009000000000000008,0.97425,0.004250000000000087,0.0079166666666666,rho0_seed07_width512_cosine,10.131436100000428,2368541726,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2691028627,SUCCESS,0.029,0.9785,0.9116666666666666,0.17281110191047946,No-acquisition / no-distortion,0.0001,512,rho0_seed07_width512_cosine.json
64,0.001,7,200,0.00824999999999998,0.97475,0.007750000000000035,0.010249999999999954,rho0_seed07_width64_constant,2.643473799998901,202704321,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2691028627,SUCCESS,0.025666666666666667,0.9825,0.9136666666666666,0.18036356104883033,No-acquisition / no-distortion,0.0001,64,rho0_seed07_width64_constant.json
64,0.001,7,200,0.0,0.98275,0.00275000000000003,0.006083333333333385,rho0_seed07_width64_cosine,2.602939800000968,202704321,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2691028627,SUCCESS,0.022333333333333334,0.9855,0.913,0.18301569360810904,No-acquisition / no-distortion,0.0001,64,rho0_seed07_width64_cosine.json
64,0.001,7,200,0.006500000000000061,0.98825,0.0022500000000000853,0.008416666666666711,rho0_seed07_width8_constant,1.5283105999988038,2527120479,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2691028627,SUCCESS,0.013333333333333334,0.9905,0.916,0.19065550215093646,No-acquisition / no-distortion,0.0001,8,rho0_seed07_width8_constant.json
64,0.001,7,200,0.0022499999999999742,0.9925,0.00024999999999997247,0.007750000000000062,rho0_seed07_width8_cosine,1.5226574000007531,2527120479,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2691028627,SUCCESS,0.008666666666666666,0.99275,0.917,0.19171529681991997,No-acquisition / no-distortion,0.0001,8,rho0_seed07_width8_cosine.json
64,0.001,8,200,0.014499999999999957,0.96425,0.011749999999999927,-0.0025833333333332986,rho0_seed08_width512_constant,10.10175690000142,4120507506,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3982342642,SUCCESS,0.05333333333333334,0.976,0.908,0.16850156392226212,No-acquisition / no-distortion,0.0001,512,rho0_seed08_width512_constant.json
64,0.001,8,200,0.008000000000000007,0.971,0.009000000000000008,-0.0017500000000000016,rho0_seed08_width512_cosine,10.174392799999623,4120507506,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3982342642,SUCCESS,0.032,0.98,0.9083333333333333,0.17284179980730055,No-acquisition / no-distortion,0.0001,512,rho0_seed08_width512_cosine.json
64,0.001,8,200,0.003250000000000086,0.98225,0.0,-0.002749999999999947,rho0_seed08_width64_constant,2.7080447999996977,759648689,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3982342642,SUCCESS,0.023,0.98225,0.91,0.1834206203451776,No-acquisition / no-distortion,0.0001,64,rho0_seed08_width64_constant.json
64,0.001,8,200,0.0017500000000000293,0.98375,0.0020000000000000018,0.000666666666666621,rho0_seed08_width64_cosine,2.644591700000092,759648689,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3982342642,SUCCESS,0.02,0.98575,0.9126666666666666,0.18642793657124188,No-acquisition / no-distortion,0.0001,64,rho0_seed08_width64_cosine.json
64,0.001,8,200,0.0010000000000000009,0.9845,0.0010000000000000009,-0.003333333333333355,rho0_seed08_width8_constant,1.527929399999266,1170554118,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3982342642,SUCCESS,0.01633333333333333,0.9855,0.9096666666666666,0.19273868585131862,No-acquisition / no-distortion,0.0001,8,rho0_seed08_width8_constant.json
64,0.001,8,200,0.0012499999999999734,0.98475,0.0012499999999999734,-0.0019166666666666776,rho0_seed08_width8_cosine,1.5422806000005949,1170554118,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3982342642,SUCCESS,0.013333333333333334,0.986,0.9103333333333333,0.19351560330610845,No-acquisition / no-distortion,0.0001,8,rho0_seed08_width8_cosine.json
64,0.001,9,200,0.0017500000000000293,0.97425,0.00825000000000009,0.002749999999999947,rho0_seed09_width512_constant,10.102910900001007,3562024935,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3941533772,SUCCESS,0.04066666666666666,0.9825,0.9066666666666666,0.17452085323513794,No-acquisition / no-distortion,0.0001,512,rho0_seed09_width512_constant.json
64,0.001,9,200,0.0,0.9765,0.009749999999999925,0.0050000000000000044,rho0_seed09_width512_cosine,10.048837299998922,3562024935,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,3941533772,SUCCESS,0.03333333333333333,0.98625,0.9093333333333333,0.18191880161553628,No-acquisition / no-distortion,0.0001,512,rho0_seed09_width512_cosine.json
64,0.001,9,200,0.005750000000000033,0.98575,0.0024999999999999467,0.003833333333333383,rho0_seed09_width64_constant,2.58088940000016,4065890095,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,3941533772,SUCCESS,0.028,0.98825,0.909,0.18947169238048675,No-acquisition / no-distortion,0.0001,64,rho0_seed09_width64_constant.json
