fit_id,fidelity_min,fidelity_drop_from_20,fidelity_recovery,sat,trajectory_class_recomputed
rho0_seed15_width8_cosine,0.9875,0.0020000000000000018,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed16_width512_constant,0.96575,0.020499999999999963,0.0044999999999999485,inf,No-acquisition / no-distortion
rho0_seed16_width512_cosine,0.977,0.009500000000000064,0.0050000000000000044,inf,No-acquisition / no-distortion
rho0_seed16_width64_constant,0.98125,0.009500000000000064,0.004250000000000087,inf,No-acquisition / no-distortion
rho0_seed16_width64_cosine,0.98575,0.0050000000000000044,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0_seed16_width8_constant,0.985,0.006750000000000034,0.0040000000000000036,inf,No-acquisition / no-distortion
rho0_seed16_width8_cosine,0.9905,0.0012499999999999734,0.0017499999999999183,inf,No-acquisition / no-distortion
rho0_seed17_width512_constant,0.9745,0.0,0.011249999999999982,inf,No-acquisition / no-distortion
rho0_seed17_width512_cosine,0.975,0.0,0.013500000000000068,inf,No-acquisition / no-distortion
rho0_seed17_width64_constant,0.9825,0.005249999999999977,0.0030000000000000027,inf,No-acquisition / no-distortion
rho0_seed17_width64_cosine,0.9845,0.003249999999999975,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed17_width8_constant,0.98975,0.0020000000000000018,0.00275000000000003,inf,No-acquisition / no-distortion
rho0_seed17_width8_cosine,0.99025,0.0015000000000000568,0.0017500000000000293,inf,No-acquisition / no-distortion
rho0_seed18_width512_constant,0.96625,0.02474999999999994,0.007499999999999951,inf,No-acquisition / no-distortion
rho0_seed18_width512_cosine,0.96975,0.020750000000000046,0.011499999999999955,inf,No-acquisition / no-distortion
rho0_seed18_width64_constant,0.9775,0.012749999999999928,0.008000000000000007,inf,No-acquisition / no-distortion
rho0_seed18_width64_cosine,0.9825,0.007499999999999951,0.00824999999999998,inf,No-acquisition / no-distortion
rho0_seed18_width8_constant,0.98625,0.006250000000000089,0.005750000000000033,inf,No-acquisition / no-distortion
rho0_seed18_width8_cosine,0.9875,0.0050000000000000044,0.0014999999999999458,inf,No-acquisition / no-distortion
rho0_seed19_width512_constant,0.96775,0.010249999999999981,0.011499999999999955,inf,No-acquisition / no-distortion
rho0_seed19_width512_cosine,0.97875,0.0,0.008000000000000007,inf,No-acquisition / no-distortion
rho0_seed19_width64_constant,0.97725,0.015000000000000013,0.0030000000000000027,inf,No-acquisition / no-distortion
rho0_seed19_width64_cosine,0.97925,0.012750000000000039,0.0030000000000000027,inf,No-acquisition / no-distortion
rho0_seed19_width8_constant,0.98375,0.005249999999999977,0.0050000000000000044,inf,No-acquisition / no-distortion
rho0_seed19_width8_cosine,0.98475,0.004249999999999976,0.003750000000000031,inf,No-acquisition / no-distortion
rho0p7_seed00_width512_constant,0.95725,0.014999999999999902,0.00374999999999992,inf,No-acquisition / no-distortion
rho0p7_seed00_width512_cosine,0.96375,0.009000000000000008,0.00649999999999995,inf,No-acquisition / no-distortion
rho0p7_seed00_width64_constant,0.971,0.006249999999999978,0.0025000000000000577,inf,No-acquisition / no-distortion
rho0p7_seed00_width64_cosine,0.97725,0.0,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0p7_seed00_width8_constant,0.97475,0.010249999999999981,0.0050000000000000044,inf,No-acquisition / no-distortion
rho0p7_seed00_width8_cosine,0.9825,0.0024999999999999467,0.0024999999999999467,inf,No-acquisition / no-distortion
rho0p7_seed01_width512_constant,0.97275,0.013000000000000012,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0p7_seed01_width512_cosine,0.9775,0.008749999999999925,0.012499999999999956,inf,No-acquisition / no-distortion
rho0p7_seed01_width64_constant,0.983,0.005750000000000033,0.003750000000000031,inf,No-acquisition / no-distortion
rho0p7_seed01_width64_cosine,0.9885,0.0,0.002749999999999919,inf,No-acquisition / no-distortion
rho0p7_seed01_width8_constant,0.98875,0.007249999999999979,0.0014999999999999458,inf,No-acquisition / no-distortion
rho0p7_seed01_width8_cosine,0.99125,0.0050000000000000044,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0p7_seed02_width512_constant,0.96475,0.019499999999999962,0.012750000000000039,inf,No-acquisition / no-distortion
rho0p7_seed02_width512_cosine,0.97625,0.008000000000000007,0.007000000000000006,inf,No-acquisition / no-distortion
rho0p7_seed02_width64_constant,0.98075,0.0034999999999999476,0.0004999999999999449,inf,No-acquisition / no-distortion
rho0p7_seed02_width64_cosine,0.98325,0.0010000000000000009,0.0017500000000000293,inf,No-acquisition / no-distortion
rho0p7_seed02_width8_constant,0.97875,0.008499999999999952,0.0020000000000000018,inf,No-acquisition / no-distortion
rho0p7_seed02_width8_cosine,0.98125,0.006250000000000089,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0p7_seed03_width512_constant,0.9605,0.022499999999999964,0.012499999999999956,inf,No-acquisition / no-distortion
rho0p7_seed03_width512_cosine,0.974,0.00924999999999998,0.0,inf,No-acquisition / no-distortion
rho0p7_seed03_width64_constant,0.97675,0.009000000000000008,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0p7_seed03_width64_cosine,0.98025,0.00550000000000006,0.0,inf,No-acquisition / no-distortion
rho0p7_seed03_width8_constant,0.98325,0.00825000000000009,0.0,inf,No-acquisition / no-distortion
rho0p7_seed03_width8_cosine,0.98525,0.006250000000000089,0.0,inf,No-acquisition / no-distortion
rho0p7_seed04_width512_constant,0.9635,0.014000000000000012,0.00924999999999998,inf,No-acquisition / no-distortion
rho0p7_seed04_width512_cosine,0.9665,0.011249999999999982,0.010000000000000009,inf,No-acquisition / no-distortion
rho0p7_seed04_width64_constant,0.98175,0.003249999999999975,0.00024999999999997247,inf,No-acquisition / no-distortion
rho0p7_seed04_width64_cosine,0.98525,0.0,0.00275000000000003,inf,No-acquisition / no-distortion
rho0p7_seed04_width8_constant,0.974,0.0,0.005750000000000033,inf,No-acquisition / no-distortion
rho0p7_seed04_width8_cosine,0.974,0.0,0.007750000000000035,inf,No-acquisition / no-distortion
rho0p7_seed05_width512_constant,0.966,0.022750000000000048,0.0,inf,No-acquisition / no-distortion
rho0p7_seed05_width512_cosine,0.97225,0.01650000000000007,0.006000000000000005,inf,No-acquisition / no-distortion
rho0p7_seed05_width64_constant,0.973,0.01200000000000001,0.0022499999999999742,inf,No-acquisition / no-distortion
rho0p7_seed05_width64_cosine,0.9735,0.011499999999999955,0.006249999999999978,inf,No-acquisition / no-distortion
rho0p7_seed05_width8_constant,0.9825,0.007749999999999924,0.0,inf,No-acquisition / no-distortion
rho0p7_seed05_width8_cosine,0.9895,0.0010000000000000009,0.0004999999999999449,inf,No-acquisition / no-distortion
rho0p7_seed06_width512_constant,0.9485,0.018000000000000016,0.022749999999999937,inf,No-acquisition / no-distortion
rho0p7_seed06_width512_cosine,0.96625,0.0010000000000000009,0.00824999999999998,inf,No-acquisition / no-distortion
rho0p7_seed06_width64_constant,0.9745,0.007499999999999951,0.0,inf,No-acquisition / no-distortion
rho0p7_seed06_width64_cosine,0.97975,0.00275000000000003,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0p7_seed06_width8_constant,0.9855,0.003249999999999975,0.0,inf,No-acquisition / no-distortion
rho0p7_seed06_width8_cosine,0.9855,0.003249999999999975,0.0,inf,No-acquisition / no-distortion
rho0p7_seed07_width512_constant,0.97375,0.015249999999999986,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0p7_seed07_width512_cosine,0.9775,0.011249999999999982,0.003249999999999975,inf,No-acquisition / no-distortion
rho0p7_seed07_width64_constant,0.9885,0.0040000000000000036,0.0,inf,No-acquisition / no-distortion
rho0p7_seed07_width64_cosine,0.9925,0.0,0.0004999999999999449,inf,No-acquisition / no-distortion
rho0p7_seed07_width8_constant,0.98725,0.0,0.0017500000000000293,inf,No-acquisition / no-distortion
rho0p7_seed07_width8_cosine,0.98725,0.0,0.0025000000000000577,inf,No-acquisition / no-distortion
rho0p7_seed08_width512_constant,0.96125,0.019999999999999907,0.013499999999999956,inf,No-acquisition / no-distortion
rho0p7_seed08_width512_cosine,0.973,0.00824999999999998,0.009500000000000064,inf,No-acquisition / no-distortion
rho0p7_seed08_width64_constant,0.976,0.004750000000000032,0.0030000000000000027,inf,No-acquisition / no-distortion
rho0p7_seed08_width64_cosine,0.97725,0.003250000000000086,0.0017500000000000293,inf,No-acquisition / no-distortion
rho0p7_seed08_width8_constant,0.981,0.00275000000000003,0.008500000000000063,inf,No-acquisition / no-distortion
rho0p7_seed08_width8_cosine,0.98375,0.0,0.0044999999999999485,inf,No-acquisition / no-distortion
rho0p7_seed09_width512_constant,0.969,0.020500000000000074,0.0,inf,No-acquisition / no-distortion
rho0p7_seed09_width512_cosine,0.9755,0.014249999999999985,0.006749999999999923,inf,No-acquisition / no-distortion
