fit_id,rho_train,dataset_seed,width,schedule,checkpoint,d3,fidelity,iid_accuracy,learning_rate,train_loss
rho0_seed11_width8_cosine,0.0,11,8,cosine,40,0.007,0.99075,0.9083333333333333,0.009173690746364798,0.18800263966299344
rho0_seed11_width8_cosine,0.0,11,8,cosine,60,0.009333333333333334,0.991,0.908,0.008185102697299853,0.18750722237566309
rho0_seed11_width8_cosine,0.0,11,8,cosine,80,0.011666666666666667,0.987,0.9053333333333333,0.006931051913076572,0.18712529481081666
rho0_seed11_width8_cosine,0.0,11,8,cosine,100,0.009666666666666667,0.9885,0.9066666666666666,0.005535520151093711,0.1867192182242333
rho0_seed11_width8_cosine,0.0,11,8,cosine,120,0.011333333333333334,0.98825,0.908,0.004136476688619072,0.1865291139567084
rho0_seed11_width8_cosine,0.0,11,8,cosine,140,0.013333333333333334,0.9885,0.9073333333333333,0.0028722379872641217,0.186437708008087
rho0_seed11_width8_cosine,0.0,11,8,cosine,160,0.011666666666666667,0.987,0.9073333333333333,0.0018677930330710667,0.1863459339920177
rho0_seed11_width8_cosine,0.0,11,8,cosine,180,0.012333333333333333,0.987,0.9063333333333333,0.0012224462977549774,0.1862964856621706
rho0_seed11_width8_cosine,0.0,11,8,cosine,200,0.012666666666666666,0.98725,0.9063333333333333,0.001,0.18625408898158577
rho0_seed12_width512_constant,0.0,12,512,constant,20,0.02033333333333333,0.98975,0.905,0.01,0.19380537052467106
rho0_seed12_width512_constant,0.0,12,512,constant,40,0.03,0.98475,0.9033333333333333,0.01,0.19446973809709944
rho0_seed12_width512_constant,0.0,12,512,constant,60,0.028,0.9825,0.9023333333333333,0.01,0.18694005404842556
rho0_seed12_width512_constant,0.0,12,512,constant,80,0.03233333333333333,0.981,0.904,0.01,0.19179752305216272
rho0_seed12_width512_constant,0.0,12,512,constant,100,0.034333333333333334,0.976,0.9046666666666666,0.01,0.1828617734543534
rho0_seed12_width512_constant,0.0,12,512,constant,120,0.04533333333333334,0.97525,0.9073333333333333,0.01,0.18258395503244934
rho0_seed12_width512_constant,0.0,12,512,constant,140,0.03166666666666667,0.973,0.9013333333333333,0.01,0.17773905136664112
rho0_seed12_width512_constant,0.0,12,512,constant,160,0.04,0.96725,0.9023333333333333,0.01,0.17645110597428024
rho0_seed12_width512_constant,0.0,12,512,constant,180,0.036,0.9725,0.9,0.01,0.17889835953217545
rho0_seed12_width512_constant,0.0,12,512,constant,200,0.039,0.9715,0.903,0.01,0.17035515982149405
rho0_seed12_width512_cosine,0.0,12,512,cosine,20,0.019333333333333334,0.99075,0.9053333333333333,0.009799079281818376,0.19359860536049797
rho0_seed12_width512_cosine,0.0,12,512,cosine,40,0.027666666666666666,0.98525,0.903,0.009173690746364798,0.193136426452865
rho0_seed12_width512_cosine,0.0,12,512,cosine,60,0.024333333333333332,0.988,0.906,0.008185102697299853,0.18572622722177567
rho0_seed12_width512_cosine,0.0,12,512,cosine,80,0.028333333333333332,0.98375,0.908,0.006931051913076572,0.18912034923885612
rho0_seed12_width512_cosine,0.0,12,512,cosine,100,0.024666666666666667,0.98175,0.9063333333333333,0.005535520151093711,0.182969438692239
rho0_seed12_width512_cosine,0.0,12,512,cosine,120,0.028333333333333332,0.98725,0.904,0.004136476688619072,0.179569024839007
rho0_seed12_width512_cosine,0.0,12,512,cosine,140,0.027333333333333334,0.98125,0.903,0.0028722379872641217,0.18200964122664373
rho0_seed12_width512_cosine,0.0,12,512,cosine,160,0.028333333333333332,0.97875,0.9056666666666666,0.0018677930330710667,0.178636313834869
rho0_seed12_width512_cosine,0.0,12,512,cosine,180,0.030666666666666665,0.98325,0.9033333333333333,0.0012224462977549774,0.17728686769084984
rho0_seed12_width512_cosine,0.0,12,512,cosine,200,0.029666666666666668,0.98225,0.9023333333333333,0.001,0.17719090871857948
rho0_seed12_width64_constant,0.0,12,64,constant,20,0.017,0.99125,0.9056666666666666,0.01,0.1966093620667721
rho0_seed12_width64_constant,0.0,12,64,constant,40,0.022333333333333334,0.989,0.901,0.01,0.19235574242463466
rho0_seed12_width64_constant,0.0,12,64,constant,60,0.023333333333333334,0.986,0.9026666666666666,0.01,0.19053128574331057
rho0_seed12_width64_constant,0.0,12,64,constant,80,0.025,0.988,0.9033333333333333,0.01,0.18858265898201146
rho0_seed12_width64_constant,0.0,12,64,constant,100,0.023666666666666666,0.987,0.9033333333333333,0.01,0.1880014968277887
rho0_seed12_width64_constant,0.0,12,64,constant,120,0.023666666666666666,0.9875,0.9046666666666666,0.01,0.18593856229732084
rho0_seed12_width64_constant,0.0,12,64,constant,140,0.027666666666666666,0.9855,0.9043333333333333,0.01,0.18707648981620104
rho0_seed12_width64_constant,0.0,12,64,constant,160,0.027666666666666666,0.983,0.9026666666666666,0.01,0.1847933576194462
rho0_seed12_width64_constant,0.0,12,64,constant,180,0.027666666666666666,0.985,0.9053333333333333,0.01,0.1833365790025315
rho0_seed12_width64_constant,0.0,12,64,constant,200,0.028666666666666667,0.98425,0.9023333333333333,0.01,0.18290945908711573
rho0_seed12_width64_cosine,0.0,12,64,cosine,20,0.017,0.991,0.9056666666666666,0.009799079281818376,0.19661310482416142
