seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
1,mlp,stable_only,0.899,0.905,0.9102222222222222,0.905,-0.005222222222222128,0.9119999999999999,0.0017460317460319843,0.0
2,logistic_regression,all_features,0.9935,0.9936666666666667,0.6197222222222222,0.2763333333333333,0.3739444444444445,0.37016666666666664,-0.3809126984126981,0.35450000000000004
2,rbf_svm,all_features,0.9935,0.9943333333333333,0.6134444444444445,0.265,0.38088888888888883,0.36033333333333334,-0.38690476190476175,0.37550000000000006
2,random_forest,all_features,0.992,0.9906666666666667,0.4832222222222222,0.057666666666666665,0.5074444444444445,0.17366666666666666,-0.4888492063492062,0.475
2,gradient_boosting,all_features,0.9895,0.9926666666666667,0.5276666666666666,0.10633333333333334,0.4650000000000001,0.22433333333333333,-0.46480158730158694,0.4455
2,mlp,all_features,0.989,0.9923333333333333,0.6518888888888889,0.348,0.34044444444444444,0.429,-0.34412698412698367,0.3245
2,logistic_regression,stable_only,0.9075,0.902,0.9105555555555557,0.902,-0.00855555555555565,0.9108333333333334,0.001984126984127289,0.0
2,rbf_svm,stable_only,0.9085,0.9033333333333333,0.909611111111111,0.9033333333333333,-0.0062777777777777155,0.9079999999999999,0.0003968253968256957,0.0
2,random_forest,stable_only,0.8965,0.8986666666666666,0.9016111111111113,0.8973333333333333,-0.0029444444444446383,0.8999999999999999,-0.0008730158730155523,0.0
2,gradient_boosting,stable_only,0.894,0.894,0.8992777777777778,0.894,-0.005277777777777826,0.8983333333333333,0.00027777777777800633,0.0
2,mlp,stable_only,0.905,0.9036666666666666,0.9106666666666667,0.9036666666666666,-0.007000000000000117,0.9103333333333333,0.0014285714285714854,0.0
3,logistic_regression,all_features,0.9935,0.9933333333333333,0.6062777777777778,0.26066666666666666,0.3870555555555555,0.3586666666666667,-0.3902380952380948,0.371
3,rbf_svm,all_features,0.993,0.994,0.6117777777777778,0.276,0.38222222222222224,0.368,-0.38416666666666627,0.3435
3,random_forest,all_features,0.988,0.9903333333333333,0.48294444444444445,0.05466666666666667,0.5073888888888889,0.177,-0.48876984126984085,0.4535
3,gradient_boosting,all_features,0.992,0.9893333333333333,0.5163888888888889,0.09533333333333334,0.4729444444444444,0.22166666666666665,-0.46849206349206307,0.45799999999999996
3,mlp,all_features,0.9905,0.9856666666666667,0.6083333333333333,0.2773333333333333,0.3773333333333334,0.371,-0.37638888888888855,0.35050000000000003
3,logistic_regression,stable_only,0.9095,0.9123333333333333,0.9098888888888887,0.9046666666666666,0.0024444444444445823,0.9148333333333334,0.002222222222222492,0.0
3,rbf_svm,stable_only,0.9095,0.913,0.9087777777777778,0.903,0.004222222222222238,0.9136666666666666,0.0014682539682542221,0.0
3,random_forest,stable_only,0.91,0.9033333333333333,0.9031111111111111,0.8956666666666667,0.00022222222222223476,0.9061666666666666,0.0010317460317462634,0.0
3,gradient_boosting,stable_only,0.906,0.8983333333333333,0.8994444444444444,0.8956666666666667,-0.0011111111111110628,0.9019999999999999,0.0025396825396827084,0.0
3,mlp,stable_only,0.906,0.913,0.9093888888888889,0.9023333333333333,0.0036111111111111205,0.9148333333333334,0.0017857142857143034,0.0
4,logistic_regression,all_features,0.9935,0.994,0.6040555555555555,0.251,0.38994444444444454,0.34750000000000003,-0.39690476190476176,0.37250000000000005
4,rbf_svm,all_features,0.9925,0.9933333333333333,0.6115,0.27,0.38183333333333325,0.361,-0.3882539682539679,0.35950000000000004
4,random_forest,all_features,0.99,0.991,0.47361111111111104,0.05333333333333334,0.5173888888888889,0.16616666666666668,-0.49507936507936495,0.485
4,gradient_boosting,all_features,0.991,0.9906666666666667,0.5183888888888889,0.10366666666666667,0.4722777777777778,0.2185,-0.47166666666666623,0.4475
4,mlp,all_features,0.9925,0.992,0.6603333333333333,0.36766666666666664,0.33166666666666667,0.4398333333333333,-0.3397619047619045,0.3115
4,logistic_regression,stable_only,0.919,0.9013333333333333,0.9131666666666666,0.9013333333333333,-0.011833333333333251,0.9135,0.003055555555555853,0.0
4,rbf_svm,stable_only,0.9195,0.898,0.9128333333333335,0.898,-0.014833333333333476,0.9148333333333334,0.004801587301587491,0.0
4,random_forest,stable_only,0.9155,0.8886666666666667,0.9047222222222221,0.8886666666666667,-0.01605555555555538,0.9043333333333333,0.0046825396825397585,0.0
4,gradient_boosting,stable_only,0.9105,0.8883333333333333,0.9021666666666667,0.8883333333333333,-0.013833333333333364,0.9003333333333333,0.002738095238095599,0.0
4,mlp,stable_only,0.92,0.899,0.9133333333333334,0.899,-0.01433333333333342,0.9125,0.003412698412698742,0.0
