rho_train,seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
0.7,4,random_forest,stable_only,0.9155,0.9026666666666666,0.9090000000000001,0.9026666666666666,-0.006333333333333524,0.9071666666666667,-0.00012820512820508874,0.0
0.7,4,gradient_boosting,stable_only,0.9105,0.8993333333333333,0.9036666666666665,0.8986666666666666,-0.004333333333333189,0.9019999999999999,-0.0009166666666664496,0.0
0.7,4,mlp,stable_only,0.92,0.9213333333333333,0.915,0.909,0.006333333333333302,0.911,-0.007083333333333137,0.0
0.9,0,logistic_regression,all_features,0.995,0.9943333333333333,0.5359333333333333,0.23166666666666666,0.45840000000000003,0.3368333333333333,-0.40523809523809506,0.393
0.9,0,rbf_svm,all_features,0.9955,0.994,0.5557333333333334,0.264,0.4382666666666666,0.36316666666666664,-0.3895555555555554,0.3630000000000001
0.9,0,random_forest,all_features,0.9925,0.9916666666666667,0.4227333333333333,0.07266666666666667,0.5689333333333334,0.1925,-0.486444444444444,0.4730000000000001
0.9,0,gradient_boosting,all_features,0.9925,0.992,0.4509333333333333,0.09666666666666666,0.5410666666666667,0.2185,-0.473269841269841,0.4535
0.9,0,mlp,all_features,0.9925,0.9926666666666667,0.6422666666666667,0.4206666666666667,0.35040000000000004,0.4883333333333334,-0.30995238095238065,0.2865000000000001
0.9,0,logistic_regression,stable_only,0.908,0.9103333333333333,0.9121333333333335,0.9093333333333333,-0.0018000000000001348,0.9145,0.0027142857142857814,0.0
0.9,0,rbf_svm,stable_only,0.906,0.91,0.9108666666666666,0.906,-0.0008666666666665712,0.9136666666666666,0.0022222222222224347,0.0
0.9,0,random_forest,stable_only,0.8955,0.9053333333333333,0.9032666666666668,0.896,0.00206666666666655,0.9056666666666666,1.5873015873201742e-05,0.0
0.9,0,gradient_boosting,stable_only,0.888,0.8973333333333333,0.8994666666666665,0.8926666666666667,-0.0021333333333332094,0.899,0.0002539682539685663,0.0
0.9,0,mlp,stable_only,0.9085,0.906,0.9084666666666668,0.9023333333333333,-0.002466666666666728,0.9099999999999999,0.002269841269841218,0.0
0.9,1,logistic_regression,all_features,0.995,0.989,0.5590666666666666,0.27566666666666667,0.4299333333333334,0.37416666666666665,-0.3789682539682537,0.377
0.9,1,rbf_svm,all_features,0.995,0.9883333333333333,0.5724,0.2966666666666667,0.41593333333333327,0.3935,-0.36577777777777737,0.37549999999999994
0.9,1,random_forest,all_features,0.9875,0.9863333333333333,0.40920000000000006,0.06333333333333334,0.5771333333333333,0.18366666666666667,-0.4838730158730156,0.4525
0.9,1,gradient_boosting,all_features,0.9895,0.988,0.4504666666666667,0.10866666666666666,0.5375333333333333,0.22899999999999998,-0.46101587301587266,0.4515
0.9,1,mlp,all_features,0.9945,0.989,0.5831333333333333,0.31366666666666665,0.4058666666666667,0.4068333333333333,-0.3589365079365078,0.3460000000000001
0.9,1,logistic_regression,stable_only,0.8985,0.9086666666666666,0.9111333333333332,0.9076666666666666,-0.002466666666666617,0.9126666666666667,0.0017460317460320162,0.0
0.9,1,rbf_svm,stable_only,0.894,0.9076666666666666,0.9096666666666666,0.907,-0.0020000000000000018,0.9105,0.0003809523809527829,0.0
0.9,1,random_forest,stable_only,0.8915,0.8943333333333333,0.9029333333333334,0.8943333333333333,-0.008600000000000052,0.904,0.003047619047619082,0.0
0.9,1,gradient_boosting,stable_only,0.8875,0.888,0.8974,0.888,-0.009399999999999964,0.8998333333333333,0.0046190476190478,0.0
0.9,1,mlp,stable_only,0.899,0.9076666666666666,0.9101333333333332,0.9073333333333333,-0.002466666666666617,0.9105,0.0002222222222224132,0.0
0.9,2,logistic_regression,all_features,0.9935,0.995,0.5623333333333334,0.2786666666666667,0.43266666666666664,0.38,-0.38074603174603155,0.35450000000000004
0.9,2,rbf_svm,all_features,0.9935,0.9956666666666667,0.5554,0.2723333333333333,0.4402666666666667,0.3725,-0.38484126984126954,0.37550000000000006
0.9,2,random_forest,all_features,0.992,0.994,0.41006666666666663,0.06,0.5839333333333334,0.18,-0.4946825396825394,0.475
0.9,2,gradient_boosting,all_features,0.9895,0.9956666666666667,0.4568,0.10466666666666667,0.5388666666666667,0.2316666666666667,-0.4705079365079362,0.4455
0.9,2,mlp,all_features,0.989,0.9933333333333333,0.6038,0.35733333333333334,0.3895333333333333,0.44066666666666665,-0.3415396825396824,0.3245
0.9,2,logistic_regression,stable_only,0.9075,0.9163333333333333,0.9111333333333332,0.9033333333333333,0.0052000000000000934,0.9145,-0.000571428571428321,0.0
0.9,2,rbf_svm,stable_only,0.9085,0.9166666666666666,0.9104666666666666,0.9046666666666666,0.006199999999999983,0.9145,-0.000333333333333123,0.0
0.9,2,random_forest,stable_only,0.8965,0.9123333333333333,0.9046,0.8966666666666666,0.00773333333333337,0.9091666666666667,-0.0014444444444441343,0.0
0.9,2,gradient_boosting,stable_only,0.894,0.9083333333333333,0.8999333333333333,0.8926666666666667,0.008400000000000074,0.9025,-0.0025238095238093406,0.0
0.9,2,mlp,stable_only,0.905,0.918,0.9101333333333332,0.9063333333333333,0.0078666666666668,0.9125000000000001,-0.001793650793650605,0.0
0.9,3,logistic_regression,all_features,0.9935,0.9913333333333333,0.5535333333333333,0.254,0.43779999999999997,0.35883333333333334,-0.39161904761904737,0.371
0.9,3,rbf_svm,all_features,0.993,0.9926666666666667,0.5586,0.263,0.4340666666666667,0.3666666666666667,-0.3872222222222221,0.3435
0.9,3,random_forest,all_features,0.988,0.9883333333333333,0.4164,0.059666666666666666,0.5719333333333333,0.18316666666666664,-0.49068253968253944,0.4535
0.9,3,gradient_boosting,all_features,0.992,0.9923333333333333,0.4504,0.09733333333333333,0.5419333333333333,0.22183333333333333,-0.4718730158730156,0.45799999999999996
0.9,3,mlp,all_features,0.9905,0.9866666666666667,0.5545333333333333,0.266,0.43213333333333337,0.36516666666666664,-0.38306349206349194,0.35050000000000003
0.9,3,logistic_regression,stable_only,0.9095,0.8953333333333333,0.9113333333333333,0.8953333333333333,-0.016000000000000014,0.9156666666666666,0.01123809523809544,0.0
