rho_train,rho_val,seed,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_log_loss,permuted_validation_accuracy,spurious_reliance_score
0.9,0.9,3,gradient_boosting,stable_only,0.906,0.9059816239264957,0.24490658625608097,0.906,0.0
0.9,0.9,3,mlp,stable_only,0.906,0.9059616238464954,0.19769808115258727,0.906,0.0
0.9,0.9,4,logistic_regression,all_features,0.9935,0.9934433598188428,0.01987356850391551,0.621,0.37250000000000005
0.9,0.9,4,rbf_svm,all_features,0.9925,0.9924092336554509,0.02270577033800522,0.633,0.35950000000000004
0.9,0.9,4,random_forest,all_features,0.99,0.989856954223149,0.04887955059596274,0.505,0.485
0.9,0.9,4,gradient_boosting,all_features,0.991,0.990858044410363,0.04210279865752873,0.5435,0.4475
0.9,0.9,4,mlp,all_features,0.9925,0.9924092336554509,0.036108997124740146,0.681,0.3115
0.9,0.9,4,logistic_regression,stable_only,0.919,0.9188125869071418,0.178242513796391,0.919,0.0
0.9,0.9,4,rbf_svm,stable_only,0.9195,0.9193957219411939,0.1848343571031075,0.9195,0.0
0.9,0.9,4,random_forest,stable_only,0.9155,0.9153583252161603,0.20948716739635972,0.9155,0.0
0.9,0.9,4,gradient_boosting,stable_only,0.9105,0.9102537663515569,0.20767132268822083,0.9105,0.0
0.9,0.9,4,mlp,stable_only,0.92,0.9197476051419997,0.20592093252632065,0.92,0.0
