seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss,rho_train,rho_val
2,logistic_regression,stable_only,0.0,0.9143333333333333,0.9142119193989071,0.19988739678841796,0.5,0.5
2,logistic_regression,stable_only,-0.3,0.9033333333333333,0.9033611204445937,0.20745468349653226,0.5,0.5
2,logistic_regression,stable_only,-0.6,0.9123333333333333,0.9123333333333333,0.19396400178615328,0.5,0.5
2,logistic_regression,stable_only,-0.9,0.9166666666666666,0.9168398669395201,0.18618289083825804,0.5,0.5
2,rbf_svm,stable_only,0.5,0.9053333333333333,0.9054372723651263,0.21773091154070945,0.5,0.5
2,rbf_svm,stable_only,0.3,0.9093333333333333,0.9094359905942859,0.20728049371904625,0.5,0.5
2,rbf_svm,stable_only,0.0,0.9093333333333333,0.9091369962431695,0.21204922002755514,0.5,0.5
2,rbf_svm,stable_only,-0.3,0.9046666666666666,0.9047104753676058,0.21854797279288543,0.5,0.5
2,rbf_svm,stable_only,-0.6,0.9116666666666666,0.9116666666666666,0.207048284733488,0.5,0.5
2,rbf_svm,stable_only,-0.9,0.9173333333333333,0.9175377055067908,0.19373196810777102,0.5,0.5
2,random_forest,stable_only,0.5,0.903,0.9030969013202823,0.23064138034793943,0.5,0.5
2,random_forest,stable_only,0.3,0.9066666666666666,0.9066724285335115,0.22924617173720507,0.5,0.5
2,random_forest,stable_only,0.0,0.9013333333333333,0.9010843579234973,0.22788762410839689,0.5,0.5
2,random_forest,stable_only,-0.3,0.8966666666666666,0.8967183474935598,0.23479454681181533,0.5,0.5
2,random_forest,stable_only,-0.6,0.9063333333333333,0.9063333333333333,0.22481674238880248,0.5,0.5
2,random_forest,stable_only,-0.9,0.912,0.9122039075403903,0.2164560423689872,0.5,0.5
2,gradient_boosting,stable_only,0.5,0.897,0.8971570538356477,0.2453245738853632,0.5,0.5
2,gradient_boosting,stable_only,0.3,0.897,0.8970326385748982,0.2549380580205918,0.5,0.5
2,gradient_boosting,stable_only,0.0,0.905,0.9048732069672132,0.2443123734154761,0.5,0.5
2,gradient_boosting,stable_only,-0.3,0.8926666666666667,0.8927209502018698,0.2578671902564471,0.5,0.5
2,gradient_boosting,stable_only,-0.6,0.9006666666666666,0.9006666666666667,0.24151476458032256,0.5,0.5
2,gradient_boosting,stable_only,-0.9,0.9043333333333333,0.9044961249957775,0.2294506522616355,0.5,0.5
2,mlp,stable_only,0.5,0.9083333333333333,0.9082080155929888,0.20841336729194662,0.5,0.5
2,mlp,stable_only,0.3,0.91,0.9099348188813174,0.19919224554468534,0.5,0.5
2,mlp,stable_only,0.0,0.9093333333333333,0.9094411714480874,0.20409843497852956,0.5,0.5
2,mlp,stable_only,-0.3,0.9063333333333333,0.9063091676133485,0.20906571002305172,0.5,0.5
2,mlp,stable_only,-0.6,0.907,0.907,0.20110420197010595,0.5,0.5
2,mlp,stable_only,-0.9,0.918,0.9180799749667082,0.18753232262627784,0.5,0.5
3,logistic_regression,all_features,0.5,0.9326666666666666,0.9326570233828297,0.15892304451266606,0.5,0.5
3,logistic_regression,all_features,0.3,0.9133333333333333,0.9133396082713583,0.20616259108941146,0.5,0.5
3,logistic_regression,all_features,0.0,0.886,0.8859773796416774,0.25459592758318367,0.5,0.5
3,logistic_regression,all_features,-0.3,0.864,0.8638849575773955,0.3027318605744334,0.5,0.5
3,logistic_regression,all_features,-0.6,0.8413333333333334,0.8412871254125046,0.3458769256408645,0.5,0.5
3,logistic_regression,all_features,-0.9,0.8283333333333334,0.8284042223615907,0.3900581600425341,0.5,0.5
3,rbf_svm,all_features,0.5,0.9313333333333333,0.9313342720600785,0.16897912786303537,0.5,0.5
3,rbf_svm,all_features,0.3,0.907,0.9069974599394708,0.22540183680403583,0.5,0.5
3,rbf_svm,all_features,0.0,0.8783333333333333,0.8782537617188804,0.2734923911256244,0.5,0.5
3,rbf_svm,all_features,-0.3,0.8536666666666667,0.8535611162870087,0.32707137808441294,0.5,0.5
3,rbf_svm,all_features,-0.6,0.827,0.8269680774230825,0.38026423189386266,0.5,0.5
3,rbf_svm,all_features,-0.9,0.8123333333333334,0.8123452383756824,0.4372511583899403,0.5,0.5
3,random_forest,all_features,0.5,0.926,0.9260059310462536,0.1898011674843427,0.5,0.5
3,random_forest,all_features,0.3,0.8966666666666666,0.8967053907705058,0.2449597245465596,0.5,0.5
3,random_forest,all_features,0.0,0.8756666666666667,0.8757848730524138,0.28077442995397767,0.5,0.5
3,random_forest,all_features,-0.3,0.857,0.8568592693213095,0.3358864185488887,0.5,0.5
3,random_forest,all_features,-0.6,0.819,0.8189813220146891,0.3877575168819445,0.5,0.5
3,random_forest,all_features,-0.9,0.8,0.8000716498261424,0.4609795474087344,0.5,0.5
3,gradient_boosting,all_features,0.5,0.9293333333333333,0.9293501450759515,0.18859048479322707,0.5,0.5
3,gradient_boosting,all_features,0.3,0.8916666666666667,0.8916841806204008,0.27564777628382464,0.5,0.5
3,gradient_boosting,all_features,0.0,0.8676666666666667,0.867857738631435,0.33940419216176315,0.5,0.5
3,gradient_boosting,all_features,-0.3,0.8533333333333334,0.8531815175415514,0.38762328473325536,0.5,0.5
3,gradient_boosting,all_features,-0.6,0.8243333333333334,0.8243324925832509,0.47063777396169176,0.5,0.5
3,gradient_boosting,all_features,-0.9,0.8146666666666667,0.8147047489344755,0.5076911391845909,0.5,0.5
3,mlp,all_features,0.5,0.9293333333333333,0.9293608124253285,0.17125271112503776,0.5,0.5
3,mlp,all_features,0.3,0.9076666666666666,0.907806206675473,0.21829884830737095,0.5,0.5
3,mlp,all_features,0.0,0.8833333333333333,0.8834284189103526,0.2655817047388297,0.5,0.5
3,mlp,all_features,-0.3,0.854,0.8538055885469635,0.31640559017430403,0.5,0.5
3,mlp,all_features,-0.6,0.8233333333333334,0.8232558139534885,0.367986035614345,0.5,0.5
3,mlp,all_features,-0.9,0.8043333333333333,0.8043099681709426,0.41228288949076264,0.5,0.5
3,logistic_regression,stable_only,0.5,0.914,0.9140158303464756,0.19570693804880473,0.5,0.5
3,logistic_regression,stable_only,0.3,0.905,0.9051385428953667,0.20734092619618386,0.5,0.5
3,logistic_regression,stable_only,0.0,0.9093333333333333,0.9093317318920362,0.20278986864010393,0.5,0.5
3,logistic_regression,stable_only,-0.3,0.911,0.9108227424987021,0.20593596849355958,0.5,0.5
3,logistic_regression,stable_only,-0.6,0.918,0.9179768664096268,0.19470226345653516,0.5,0.5
3,logistic_regression,stable_only,-0.9,0.9133333333333333,0.9133383796382928,0.19911992299287765,0.5,0.5
3,rbf_svm,stable_only,0.5,0.9093333333333333,0.9093648660180919,0.20603019996436228,0.5,0.5
3,rbf_svm,stable_only,0.3,0.9023333333333333,0.9025095602400719,0.21902934144539185,0.5,0.5
3,rbf_svm,stable_only,0.0,0.9096666666666666,0.9097554465685784,0.21218880085828468,0.5,0.5
3,rbf_svm,stable_only,-0.3,0.9103333333333333,0.9101133284498147,0.2151905553162466,0.5,0.5
3,rbf_svm,stable_only,-0.6,0.9173333333333333,0.9172990811009011,0.20393666622988113,0.5,0.5
3,rbf_svm,stable_only,-0.9,0.914,0.914005096382795,0.2085097323280623,0.5,0.5
3,random_forest,stable_only,0.5,0.9083333333333333,0.9083674688513398,0.2260998894992343,0.5,0.5
3,random_forest,stable_only,0.3,0.894,0.8941408766565636,0.23771653644255908,0.5,0.5
3,random_forest,stable_only,0.0,0.9056666666666666,0.9058519334067328,0.22955897483713159,0.5,0.5
3,random_forest,stable_only,-0.3,0.9026666666666666,0.902492016869475,0.23203030766493196,0.5,0.5
3,random_forest,stable_only,-0.6,0.9093333333333333,0.9093167701863354,0.23087342117826082,0.5,0.5
3,random_forest,stable_only,-0.9,0.9076666666666666,0.9076857328394888,0.22372350453067663,0.5,0.5
3,gradient_boosting,stable_only,0.5,0.9053333333333333,0.9053486089776412,0.2404658595506581,0.5,0.5
3,gradient_boosting,stable_only,0.3,0.8926666666666667,0.8928070447665105,0.2656305205266896,0.5,0.5
3,gradient_boosting,stable_only,0.0,0.8986666666666666,0.8988356187235178,0.25631735880161066,0.5,0.5
3,gradient_boosting,stable_only,-0.3,0.8993333333333333,0.8992009757554638,0.2536473089809461,0.5,0.5
3,gradient_boosting,stable_only,-0.6,0.901,0.9009822331359237,0.24900572448401537,0.5,0.5
3,gradient_boosting,stable_only,-0.9,0.9036666666666666,0.903702767007833,0.25209150386057083,0.5,0.5
3,mlp,stable_only,0.5,0.9126666666666666,0.9127357484212323,0.197715229036166,0.5,0.5
3,mlp,stable_only,0.3,0.9036666666666666,0.9038949669632071,0.21045952502882126,0.5,0.5
3,mlp,stable_only,0.0,0.911,0.9111700530477429,0.2048759954960348,0.5,0.5
3,mlp,stable_only,-0.3,0.9076666666666666,0.9074392464209261,0.20815069715972395,0.5,0.5
3,mlp,stable_only,-0.6,0.9176666666666666,0.9176246402737809,0.19609338624648895,0.5,0.5
3,mlp,stable_only,-0.9,0.9136666666666666,0.9136630706928655,0.20123958040278636,0.5,0.5
4,logistic_regression,all_features,0.5,0.9283333333333333,0.9279605034110041,0.16280340669092458,0.5,0.5
