rho_train,replicate,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,iid_accuracy,iid_balanced_accuracy,iid_roc_auc,iid_brier_score,iid_log_loss,average_ood_accuracy,worst_ood_accuracy,ood_gap,n_ood_environments
0.5,7,random_forest,all_features,0.9195,0.9196024227488758,0.9769376790257797,0.059346373944751604,0.20127950997141533,0.9263333333333333,0.9263285324835373,0.9823500304980518,0.053744979395453606,0.1855745018577555,0.8423999999999999,0.7806666666666666,0.08393333333333342,5
0.5,7,random_forest,stable_only,0.901,0.9011657678705733,0.9683354403034037,0.0700485469176414,0.23185169948140377,0.9076666666666666,0.907644696806685,0.9714398637101637,0.06783532876858199,0.22276788233282446,0.9002666666666667,0.8953333333333333,0.007399999999999962,5
0.5,7,rbf_svm,all_features,0.9295,0.9295438543150214,0.981389320062089,0.05268759739362821,0.17609523482894723,0.9356666666666666,0.9357340249781712,0.9852613496321562,0.04683838461792936,0.1562948679325797,0.8492666666666666,0.792,0.08640000000000003,5
0.5,7,rbf_svm,stable_only,0.9095,0.9096969963674769,0.9742632939143236,0.06477525291371447,0.2098313058947102,0.9153333333333333,0.9152500929168053,0.9766312011964482,0.061018416765259646,0.1985377029683998,0.9081333333333333,0.9036666666666666,0.007199999999999984,5
0.5,8,gradient_boosting,all_features,0.901,0.9010016641065028,0.972572244623656,0.07077866041768038,0.23767905871704315,0.9233333333333333,0.9233432597004312,0.9784737099426641,0.0592659664242564,0.20275695632033228,0.8560000000000001,0.8103333333333333,0.06733333333333325,5
0.5,8,gradient_boosting,stable_only,0.9005,0.9005136328725039,0.9686324924795189,0.07280561115943288,0.24047285593433115,0.9006666666666666,0.9006800302235655,0.9700320014222854,0.07166357355066595,0.23414929678557656,0.8997999999999999,0.8976666666666666,0.0008666666666666822,5
0.5,8,logistic_regression,all_features,0.9205,0.9204589093701997,0.9807507680491552,0.05574992045411729,0.17787010808639428,0.9333333333333333,0.9333525934485978,0.9854966887417219,0.04680802095343601,0.1551053528742133,0.8695333333333333,0.8256666666666667,0.06380000000000008,5
0.5,8,logistic_regression,stable_only,0.9095,0.9095062083973374,0.9754664298515106,0.06299708174779978,0.1993127087624969,0.914,0.9140050668918618,0.9775545579803547,0.06028092294630765,0.19182734357683473,0.9127333333333334,0.9043333333333333,0.0012666666666666382,5
0.5,8,mlp,all_features,0.92,0.9199868791602662,0.980520753328213,0.056061134252514765,0.18020645105117505,0.9336666666666666,0.933665940708476,0.9851148939952887,0.04739210349710586,0.15680607129663426,0.8712666666666667,0.829,0.0623999999999999,5
0.5,8,mlp,stable_only,0.9085,0.9085541474654377,0.9747863863287249,0.0676197456863321,0.23068028701763746,0.91,0.909982665896262,0.9768349704431308,0.06531483453579306,0.22571824127723358,0.9148,0.9096666666666666,-0.0047999999999999154,5
0.5,8,random_forest,all_features,0.905,0.9050099206349207,0.9718526985727087,0.067172786508396,0.22101415473380118,0.9266666666666666,0.9266545179785768,0.9787892795235345,0.057731222166527936,0.1966500061596671,0.8519333333333334,0.7976666666666666,0.07473333333333321,5
0.5,8,random_forest,stable_only,0.905,0.9050419226830517,0.9691810275857654,0.06984522325869423,0.22973764969034804,0.9043333333333333,0.9043224143295258,0.9703471265389572,0.0684436849155192,0.22553299793706863,0.9030666666666667,0.9016666666666666,0.0012666666666666382,5
0.5,8,rbf_svm,all_features,0.914,0.9139944956477215,0.9773095478110599,0.06019703900801695,0.19515296458809323,0.9296666666666666,0.929639095070892,0.9836112716120716,0.049161943578207586,0.16465802665487497,0.8580666666666665,0.809,0.07160000000000011,5
