rho_train,replicate,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,iid_accuracy,iid_balanced_accuracy,iid_roc_auc,iid_brier_score,iid_log_loss,average_ood_accuracy,worst_ood_accuracy,ood_gap,n_ood_environments,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.9,4,random_forest,all_features,0.9915,0.9915104235938124,0.9997469977229795,0.006516519715941043,0.026526771835819588,0.9893333333333333,0.9893433830422724,0.9993384643299967,0.008058477163843118,0.03180335010623428,0.40953333333333325,0.057,0.5798000000000001,5,0.084,0.10689151428571429,0.4832341530334905,0.0005,0.0019407809523809532,0.0007554864096686043,0.0835,0.10495073333333334,0.9915,0.9145,0.07700000000000007,0.900584795321638
0.9,4,rbf_svm,all_features,0.9935,0.9935044415399739,0.9996449968049712,0.004961319342152518,0.020984612971252908,0.9943333333333333,0.994355043859259,0.9998879280747288,0.004055847810205254,0.01429753278827467,0.5555333333333332,0.27,0.4388000000000001,5,0.0795,0.08839261346968454,0.4832341530334905,0.0,0.0017703094647095474,0.0007554864096686043,0.0795,0.08662230400497499,0.9935,0.92,0.07350000000000001,0.9187500000000006
0.9,5,gradient_boosting,all_features,0.9895,0.9894039403940393,0.9996429642964296,0.00853350755244503,0.03921019716930252,0.992,0.9920200055570991,0.999480744651292,0.007132689423632788,0.03707508102563378,0.44993333333333335,0.09733333333333333,0.5420666666666667,5,0.098,0.10037726262222527,0.4790248635474672,0.004,0.0028044330246531435,2.89178048383798e-05,0.094,0.09757282959757212,0.9895,0.892,0.09750000000000003,0.9027777777777782
0.9,5,logistic_regression,all_features,0.9945,0.9944644464446445,0.9998819881988199,0.004873477151759249,0.019289412662392893,0.9926666666666667,0.9926757432620172,0.9998043901083634,0.005415323073898529,0.020322369384636246,0.5465333333333333,0.24933333333333332,0.4461333333333334,5,0.09,0.1029746896358335,0.4790248635474672,0.0,0.000967677216291648,2.89178048383798e-05,0.09,0.10200701241954185,0.9945,0.9085,0.08600000000000008,0.9398907103825143
0.9,5,mlp,all_features,0.993,0.9929492949294929,0.9998129812981298,0.0058833915812756335,0.021835540522348994,0.9926666666666667,0.9926535148652403,0.9997572659071964,0.005657543394608339,0.02031861381962084,0.5744666666666667,0.3016666666666667,0.4182,5,0.0885,0.0993191398857677,0.4790248635474672,0.001,0.002846715714004894,2.89178048383798e-05,0.0875,0.0964724241717628,0.993,0.9125,0.08050000000000002,0.9199999999999999
0.9,5,random_forest,all_features,0.9875,0.9874237423742374,0.9994829482948295,0.009023667216737379,0.035033692562273754,0.9876666666666667,0.9877021394831897,0.9988888024451236,0.009110819763833428,0.04603683971990842,0.4076666666666666,0.05366666666666667,0.5800000000000001,5,0.098,0.11169649653679654,0.4790248635474672,0.0,0.002013392063492064,2.89178048383798e-05,0.098,0.10968310447330448,0.9875,0.8935,0.09400000000000008,0.8826291079812211
0.9,5,rbf_svm,all_features,0.9935,0.9934543454345435,0.9998169816981698,0.00530426809363089,0.0200973490189811,0.9923333333333333,0.9923367602111698,0.999675020839122,0.005527389808973582,0.020804672689604214,0.5511333333333334,0.257,0.4411999999999999,5,0.0915,0.09813647721391754,0.4790248635474672,0.001,0.002880695533541573,2.89178048383798e-05,0.0905,0.09525578168037596,0.9935,0.911,0.08250000000000002,0.926966292134832
0.9,6,gradient_boosting,all_features,0.993,0.9930078881262101,0.9996139938239011,0.005872456591001345,0.02942572676964404,0.9916666666666667,0.9917130144605117,0.9996213570634037,0.006528378670999926,0.03391937819858161,0.4382,0.078,0.5534666666666668,5,0.097,0.09866602027098433,0.47994945246426013,0.0005,0.0013100374779201171,0.000531007332207234,0.0965,0.0973559827930642,0.993,0.9,0.09299999999999997,0.9299999999999999
0.9,6,logistic_regression,all_features,0.994,0.9939999039984639,0.9998739979839678,0.004360668549986268,0.01761242677425699,0.995,0.9950055617352613,0.9998923248053392,0.003803619919494405,0.015830757699480127,0.5551333333333334,0.26866666666666666,0.43986666666666663,5,0.088,0.10025064937397742,0.47994945246426013,0.0,0.00025850392176978945,0.000531007332207234,0.088,0.09999214545220762,0.994,0.9095,0.08450000000000002,0.9337016574585635
0.9,6,mlp,all_features,0.9935,0.9935058960943375,0.9998209971359542,0.016471728120521164,0.10037335554704611,0.9943333333333333,0.9942936596218019,0.9997953281423805,0.015897964273323663,0.09806669346202068,0.6139333333333333,0.36766666666666664,0.38039999999999996,5,0.084,0.10633085272672775,0.47994945246426013,0.003,0.010404356605565813,0.000531007332207234,0.081,0.09592649612116194,0.9935,0.91,0.08350000000000002,0.9277777777777783
