rho_train,model,rho_environment,metric,mean,ci_lower,ci_upper,n_replicates
0.0,rbf_svm,0.3,accuracy,0.9082333333333334,0.9054324999999999,0.9112,10
0.5,gradient_boosting,-0.9,accuracy,0.9018666666666666,0.8995658333333332,0.9044666666666666,10
0.5,gradient_boosting,-0.6,accuracy,0.8988666666666667,0.8954333333333334,0.9017341666666666,10
0.5,gradient_boosting,-0.3,accuracy,0.8995,0.8955333333333334,0.9032333333333333,10
0.5,gradient_boosting,0.0,accuracy,0.9007,0.8978666666666667,0.9040666666666667,10
0.5,gradient_boosting,0.3,accuracy,0.8994333333333332,0.8960324999999998,0.9027333333333333,10
0.5,gradient_boosting,0.5,accuracy,0.9012,0.8970666666666667,0.9057000000000001,10
0.5,logistic_regression,-0.9,accuracy,0.9126666666666665,0.9100666666666667,0.9155333333333333,10
0.5,logistic_regression,-0.6,accuracy,0.9111333333333332,0.9072000000000001,0.9149333333333333,10
0.5,logistic_regression,-0.3,accuracy,0.9103999999999999,0.9066666666666668,0.9132333333333333,10
0.5,logistic_regression,0.0,accuracy,0.9120666666666667,0.9096,0.9148333333333334,10
0.5,logistic_regression,0.3,accuracy,0.9094666666666666,0.9069333333333335,0.9119333333333334,10
0.5,logistic_regression,0.5,accuracy,0.9141666666666668,0.9105666666666666,0.9174999999999999,10
0.5,mlp,-0.9,accuracy,0.9117666666666668,0.9085333333333334,0.9152999999999999,10
0.5,mlp,-0.6,accuracy,0.9094666666666666,0.9053666666666667,0.9133333333333333,10
0.5,mlp,-0.3,accuracy,0.9088666666666665,0.9048666666666666,0.9120000000000001,10
0.5,mlp,0.0,accuracy,0.9117666666666666,0.9091000000000001,0.9146666666666666,10
0.5,mlp,0.3,accuracy,0.9084333333333333,0.9061,0.9108666666666666,10
0.5,mlp,0.5,accuracy,0.9130666666666667,0.9094333333333333,0.9167333333333334,10
0.5,random_forest,-0.9,accuracy,0.9052333333333336,0.9029333333333331,0.9076000000000001,10
0.5,random_forest,-0.6,accuracy,0.9020333333333334,0.8983333333333332,0.9052666666666667,10
0.5,random_forest,-0.3,accuracy,0.9017666666666665,0.8984,0.9052999999999999,10
0.5,random_forest,0.0,accuracy,0.9040666666666667,0.9017666666666667,0.9071,10
0.5,random_forest,0.3,accuracy,0.9021000000000001,0.8992666666666667,0.9048666666666667,10
0.5,random_forest,0.5,accuracy,0.9052666666666667,0.9016666666666667,0.9090666666666667,10
0.5,rbf_svm,-0.9,accuracy,0.9116,0.9090999999999999,0.9143333333333334,10
0.5,rbf_svm,-0.6,accuracy,0.9102333333333334,0.9065,0.9138341666666668,10
0.5,rbf_svm,-0.3,accuracy,0.9093333333333333,0.9060324999999999,0.9120666666666667,10
0.5,rbf_svm,0.0,accuracy,0.9108666666666668,0.9084999999999999,0.9134333333333334,10
0.5,rbf_svm,0.3,accuracy,0.9082333333333334,0.9053666666666667,0.9111,10
0.5,rbf_svm,0.5,accuracy,0.9135,0.9102,0.9166999999999998,10
0.7,gradient_boosting,-0.9,accuracy,0.9018666666666666,0.8996000000000001,0.9044333333333331,10
0.7,gradient_boosting,-0.6,accuracy,0.8988666666666667,0.8954666666666666,0.9016666666666667,10
0.7,gradient_boosting,-0.3,accuracy,0.8995,0.8956,0.9032666666666668,10
0.7,gradient_boosting,0.0,accuracy,0.9007,0.8978658333333333,0.9041675000000001,10
0.7,gradient_boosting,0.3,accuracy,0.8994333333333332,0.8960333333333331,0.9026666666666667,10
0.7,gradient_boosting,0.7,accuracy,0.9012,0.8971,0.9056666666666668,10
0.7,logistic_regression,-0.9,accuracy,0.9126666666666665,0.9100999999999999,0.9155,10
0.7,logistic_regression,-0.6,accuracy,0.9111333333333332,0.9072666666666667,0.9148675000000001,10
0.7,logistic_regression,-0.3,accuracy,0.9103999999999999,0.9066000000000001,0.9131666666666668,10
0.7,logistic_regression,0.0,accuracy,0.9120666666666667,0.9096,0.9147666666666666,10
0.7,logistic_regression,0.3,accuracy,0.9094666666666666,0.907,0.9119666666666667,10
0.7,logistic_regression,0.7,accuracy,0.9141666666666668,0.9104333333333334,0.9175000000000001,10
0.7,mlp,-0.9,accuracy,0.9117666666666668,0.9086000000000001,0.9152666666666667,10
0.7,mlp,-0.6,accuracy,0.9094666666666666,0.9055,0.9133333333333333,10
0.7,mlp,-0.3,accuracy,0.9088666666666665,0.9049666666666667,0.9119999999999999,10
