rho_train,replicate,model,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise
0.9,6,logistic_regression,0.0,0.00025850392176978945,0.000531007332207234
0.9,6,rbf_svm,0.0015,0.0016948502280347696,0.000531007332207234
0.9,6,random_forest,0.0,0.0018365523809523812,0.000531007332207234
0.9,6,gradient_boosting,0.0005,0.0013100374779201171,0.000531007332207234
0.9,6,mlp,0.003,0.010404356605565813,0.000531007332207234
0.9,7,logistic_regression,0.0,0.00013257342928485805,0.0005640883361243132
0.9,7,rbf_svm,0.002,0.002433364240705082,0.0005640883361243132
0.9,7,random_forest,0.001,0.002531919047619048,0.0005640883361243132
0.9,7,gradient_boosting,0.003,0.002406864133495837,0.0005640883361243132
0.9,7,mlp,0.0035,0.010218431787699125,0.0005640883361243132
0.9,8,logistic_regression,0.0005,0.0016131944864127697,0.00017043864519217244
0.9,8,rbf_svm,0.001,0.0022334353326064,0.00017043864519217244
0.9,8,random_forest,0.0,0.002304157142857143,0.00017043864519217244
0.9,8,gradient_boosting,0.0025,0.0023108590654210663,0.00017043864519217244
0.9,8,mlp,0.006,0.011809775894333284,0.00017043864519217244
0.9,9,logistic_regression,0.0,0.00013357404320360906,0.0010336083211166525
0.9,9,rbf_svm,0.001,0.0017308467152332726,0.0010336083211166525
0.9,9,random_forest,0.0,0.0016624150793650798,0.0010336083211166525
0.9,9,gradient_boosting,0.001,0.0014180256407575794,0.0010336083211166525
0.9,9,mlp,0.002,0.003980231895834579,0.0010336083211166525
0.9,10,logistic_regression,0.0,0.00032346657205256743,0.00013354187055714117
0.9,10,rbf_svm,0.0005,0.003216705228287119,0.00013354187055714117
0.9,10,random_forest,0.0005,0.0018107317460317467,0.00013354187055714117
0.9,10,gradient_boosting,0.0015,0.0022781548913713722,0.00013354187055714117
0.9,10,mlp,0.0,0.0016186527834624455,0.00013354187055714117
0.9,11,logistic_regression,0.0005,0.0007226377218036132,0.0008733807194556409
0.9,11,rbf_svm,0.0015,0.00276377434349572,0.0008733807194556409
0.9,11,random_forest,0.0,0.0022078920634920644,0.0008733807194556409
0.9,11,gradient_boosting,0.002,0.0022559438063878804,0.0008733807194556409
0.9,11,mlp,0.0005,0.0036388792500300134,0.0008733807194556409
0.9,12,logistic_regression,0.0,4.931013321187343e-05,0.0013962095705876143
0.9,12,rbf_svm,0.001,0.0015793919237059725,0.0013962095705876143
0.9,12,random_forest,0.0,0.0017669071428571416,0.0013962095705876143
0.9,12,gradient_boosting,0.0015,0.001040000410933376,0.0013962095705876143
0.9,12,mlp,0.0,0.0010330203867107606,0.0013962095705876143
0.9,13,logistic_regression,0.0,0.0008246703072003953,0.00012695452140276675
0.9,13,rbf_svm,0.0015,0.002069697711672319,0.00012695452140276675
0.9,13,random_forest,0.001,0.0020504174603174605,0.00012695452140276675
0.9,13,gradient_boosting,0.0015,0.0021443153771398206,0.00012695452140276675
0.9,13,mlp,0.0025,0.006389501327561616,0.00012695452140276675
0.9,14,logistic_regression,0.0,0.0002094200759837867,0.00012546049456851893
0.9,14,rbf_svm,0.0015,0.0021871258651633275,0.00012546049456851893
0.9,14,random_forest,0.0,0.001941785714285716,0.00012546049456851893
0.9,14,gradient_boosting,0.001,0.0009837142689866308,0.00012546049456851893
0.9,14,mlp,0.0015,0.007591435709145486,0.00012546049456851893
0.9,15,logistic_regression,0.0005,0.0007884169078739761,0.0010212945832053233
0.9,15,rbf_svm,0.001,0.002625412674453579,0.0010212945832053233
0.9,15,random_forest,0.0005,0.001866619047619048,0.0010212945832053233
0.9,15,gradient_boosting,0.0,0.0010300151313049242,0.0010212945832053233
0.9,15,mlp,0.0045,0.009764018677275598,0.0010212945832053233
0.9,16,logistic_regression,0.0,0.000575786509556802,8.563254576288148e-05
0.9,16,rbf_svm,0.0015,0.002760317418965312,8.563254576288148e-05
0.9,16,random_forest,0.0015,0.0021740071428571427,8.563254576288148e-05
0.9,16,gradient_boosting,0.005,0.003120545348442427,8.563254576288148e-05
0.9,16,mlp,0.003,0.011166052393593607,8.563254576288148e-05
0.9,17,logistic_regression,0.0,0.00034268519847435795,0.0005920140962837328
0.9,17,rbf_svm,0.001,0.0023702833181048198,0.0005920140962837328
0.9,17,random_forest,0.0,0.002398450000000001,0.0005920140962837328
0.9,17,gradient_boosting,0.001,0.0019009077899551587,0.0005920140962837328
0.9,17,mlp,0.0005,0.0031464281064133627,0.0005920140962837328
0.9,18,logistic_regression,0.0,0.0010221588598243658,0.00045695946261536946
0.9,18,rbf_svm,0.0015,0.0022638981860085153,0.00045695946261536946
0.9,18,random_forest,0.0005,0.002180750000000002,0.00045695946261536946
0.9,18,gradient_boosting,0.0005,0.0008160957347692479,0.00045695946261536946
0.9,18,mlp,0.0005,0.0023979090216302455,0.00045695946261536946
0.9,19,logistic_regression,0.0,4.3284856800116486e-05,0.0005294037615428682
0.9,19,rbf_svm,0.0,0.0008160381582149404,0.0005294037615428682
0.9,19,random_forest,0.0,0.0012786380952380942,0.0005294037615428682
0.9,19,gradient_boosting,0.0005,0.0012299752140942073,0.0005294037615428682
0.9,19,mlp,0.0015,0.0036219946197486993,0.0005294037615428682
