rho_train,replicate,model,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.9,12,rbf_svm,0.9915,0.9065,0.08500000000000008,0.9090909090909096
0.9,12,random_forest,0.987,0.9005,0.08650000000000002,0.8693467336683416
0.9,12,gradient_boosting,0.9885,0.897,0.09150000000000003,0.8883495145631072
0.9,12,mlp,0.992,0.8985,0.09350000000000003,0.9211822660098522
0.9,13,logistic_regression,0.993,0.9115,0.08150000000000002,0.9209039548022598
0.9,13,rbf_svm,0.993,0.908,0.08499999999999996,0.9239130434782608
0.9,13,random_forest,0.986,0.899,0.08699999999999997,0.8613861386138613
0.9,13,gradient_boosting,0.989,0.887,0.10199999999999998,0.9026548672566371
0.9,13,mlp,0.9875,0.913,0.07450000000000001,0.8563218390804602
0.9,14,logistic_regression,0.994,0.908,0.08599999999999997,0.9347826086956521
0.9,14,rbf_svm,0.9935,0.906,0.08750000000000002,0.9308510638297878
0.9,14,random_forest,0.992,0.907,0.08499999999999996,0.9139784946236558
0.9,14,gradient_boosting,0.992,0.9065,0.08550000000000002,0.9144385026737968
0.9,14,mlp,0.9935,0.9065,0.08700000000000008,0.9304812834224604
0.9,15,logistic_regression,0.996,0.9115,0.08450000000000002,0.9548022598870056
0.9,15,rbf_svm,0.9955,0.9115,0.08400000000000007,0.9491525423728819
0.9,15,random_forest,0.9925,0.9035,0.08900000000000008,0.9222797927461145
0.9,15,gradient_boosting,0.992,0.9035,0.08850000000000002,0.9170984455958548
0.9,15,mlp,0.995,0.9135,0.08150000000000002,0.9421965317919074
0.9,16,logistic_regression,0.994,0.923,0.07099999999999995,0.9220779220779219
0.9,16,rbf_svm,0.9955,0.9225,0.07300000000000006,0.9419354838709684
0.9,16,random_forest,0.9885,0.909,0.07950000000000002,0.8736263736263741
0.9,16,gradient_boosting,0.991,0.9065,0.08450000000000002,0.9037433155080213
0.9,16,mlp,0.993,0.9215,0.07150000000000001,0.9108280254777069
0.9,17,logistic_regression,0.992,0.9065,0.08550000000000002,0.9144385026737968
0.9,17,rbf_svm,0.9915,0.9065,0.08500000000000008,0.9090909090909096
0.9,17,random_forest,0.9885,0.903,0.08550000000000002,0.8814432989690726
0.9,17,gradient_boosting,0.991,0.8955,0.09550000000000003,0.9138755980861244
0.9,17,mlp,0.9935,0.907,0.08650000000000002,0.9301075268817209
0.9,18,logistic_regression,0.994,0.908,0.08599999999999997,0.9347826086956521
0.9,18,rbf_svm,0.9915,0.9055,0.08600000000000008,0.9100529100529106
0.9,18,random_forest,0.991,0.907,0.08399999999999996,0.9032258064516128
0.9,18,gradient_boosting,0.99,0.899,0.09099999999999997,0.9009900990099009
0.9,18,mlp,0.994,0.907,0.08699999999999997,0.9354838709677419
0.9,19,logistic_regression,0.9945,0.917,0.07750000000000001,0.9337349397590368
0.9,19,rbf_svm,0.9935,0.9165,0.07700000000000007,0.9221556886227551
0.9,19,random_forest,0.992,0.9105,0.08150000000000002,0.9106145251396648
0.9,19,gradient_boosting,0.99,0.909,0.08099999999999996,0.89010989010989
0.9,19,mlp,0.9945,0.9175,0.07700000000000007,0.933333333333334
