rho_train,replicate,model,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.7,9,random_forest,0.9495,0.909,0.04049999999999998,0.445054945054945
0.7,9,gradient_boosting,0.948,0.901,0.04699999999999993,0.47474747474747414
0.7,9,mlp,0.9545,0.9145,0.040000000000000036,0.4678362573099418
0.9,0,logistic_regression,0.994,0.9105,0.08350000000000002,0.9329608938547486
0.9,0,rbf_svm,0.994,0.906,0.08799999999999997,0.9361702127659574
0.9,0,random_forest,0.989,0.9075,0.08150000000000002,0.881081081081081
0.9,0,gradient_boosting,0.992,0.8975,0.09450000000000003,0.921951219512195
0.9,0,mlp,0.9945,0.9045,0.09000000000000008,0.9424083769633513
0.9,1,logistic_regression,0.99,0.9175,0.07250000000000001,0.8787878787878787
0.9,1,rbf_svm,0.9895,0.922,0.0675,0.8653846153846159
0.9,1,random_forest,0.9875,0.9085,0.07900000000000007,0.863387978142077
0.9,1,gradient_boosting,0.9865,0.909,0.07750000000000001,0.8516483516483521
0.9,1,mlp,0.9905,0.919,0.07150000000000001,0.8827160493827165
0.9,2,logistic_regression,0.9915,0.9025,0.08900000000000008,0.9128205128205134
0.9,2,rbf_svm,0.992,0.898,0.09399999999999997,0.9215686274509803
0.9,2,random_forest,0.9895,0.8975,0.09200000000000008,0.8975609756097566
0.9,2,gradient_boosting,0.988,0.8965,0.09150000000000003,0.8840579710144927
0.9,2,mlp,0.9905,0.897,0.09350000000000003,0.9077669902912626
0.9,3,logistic_regression,0.992,0.9085,0.08350000000000002,0.9125683060109289
0.9,3,rbf_svm,0.9925,0.9055,0.08700000000000008,0.9206349206349211
0.9,3,random_forest,0.9865,0.897,0.08950000000000002,0.8689320388349518
0.9,3,gradient_boosting,0.9875,0.894,0.09350000000000003,0.8820754716981136
0.9,3,mlp,0.9905,0.906,0.08450000000000002,0.8989361702127664
0.9,4,logistic_regression,0.994,0.9195,0.07450000000000001,0.9254658385093167
0.9,4,rbf_svm,0.9935,0.92,0.07350000000000001,0.9187500000000006
0.9,4,random_forest,0.9915,0.9145,0.07700000000000007,0.900584795321638
0.9,4,gradient_boosting,0.993,0.916,0.07699999999999996,0.9166666666666665
0.9,4,mlp,0.994,0.9225,0.07150000000000001,0.9225806451612902
0.9,5,logistic_regression,0.9945,0.9085,0.08600000000000008,0.9398907103825143
0.9,5,rbf_svm,0.9935,0.911,0.08250000000000002,0.926966292134832
0.9,5,random_forest,0.9875,0.8935,0.09400000000000008,0.8826291079812211
0.9,5,gradient_boosting,0.9895,0.892,0.09750000000000003,0.9027777777777782
0.9,5,mlp,0.993,0.9125,0.08050000000000002,0.9199999999999999
0.9,6,logistic_regression,0.994,0.9095,0.08450000000000002,0.9337016574585635
0.9,6,rbf_svm,0.994,0.9085,0.08550000000000002,0.9344262295081966
0.9,6,random_forest,0.9935,0.904,0.08950000000000002,0.9322916666666672
0.9,6,gradient_boosting,0.993,0.9,0.09299999999999997,0.9299999999999999
0.9,6,mlp,0.9935,0.91,0.08350000000000002,0.9277777777777783
0.9,7,logistic_regression,0.9915,0.909,0.08250000000000002,0.906593406593407
0.9,7,rbf_svm,0.991,0.9095,0.08150000000000002,0.9005524861878452
0.9,7,random_forest,0.988,0.901,0.08699999999999997,0.8787878787878787
0.9,7,gradient_boosting,0.9885,0.8995,0.08900000000000008,0.8855721393034831
0.9,7,mlp,0.986,0.9055,0.08050000000000002,0.8518518518518517
0.9,8,logistic_regression,0.9915,0.9095,0.08200000000000007,0.9060773480662989
0.9,8,rbf_svm,0.992,0.9055,0.08650000000000002,0.9153439153439153
0.9,8,random_forest,0.9855,0.905,0.08050000000000002,0.847368421052632
0.9,8,gradient_boosting,0.9885,0.9005,0.08800000000000008,0.8844221105527643
0.9,8,mlp,0.9875,0.9085,0.07900000000000007,0.863387978142077
0.9,9,logistic_regression,0.9955,0.919,0.07650000000000001,0.9444444444444451
0.9,9,rbf_svm,0.9945,0.9155,0.07900000000000007,0.934911242603551
0.9,9,random_forest,0.992,0.909,0.08299999999999996,0.912087912087912
0.9,9,gradient_boosting,0.993,0.901,0.09199999999999997,0.9292929292929292
0.9,9,mlp,0.993,0.9145,0.07850000000000001,0.9181286549707601
0.9,10,logistic_regression,0.9935,0.9095,0.08400000000000007,0.928176795580111
0.9,10,rbf_svm,0.993,0.907,0.08599999999999997,0.9247311827956989
0.9,10,random_forest,0.987,0.904,0.08299999999999996,0.8645833333333331
0.9,10,gradient_boosting,0.99,0.904,0.08599999999999997,0.8958333333333333
0.9,10,mlp,0.994,0.9055,0.08850000000000002,0.9365079365079365
0.9,11,logistic_regression,0.994,0.9055,0.08850000000000002,0.9365079365079365
0.9,11,rbf_svm,0.9935,0.8995,0.09400000000000008,0.9353233830845776
0.9,11,random_forest,0.9865,0.8885,0.09800000000000009,0.8789237668161439
0.9,11,gradient_boosting,0.9915,0.8855,0.1060000000000001,0.9257641921397385
0.9,11,mlp,0.994,0.904,0.08999999999999997,0.9374999999999999
0.9,12,logistic_regression,0.993,0.909,0.08399999999999996,0.923076923076923
