rho_train,replicate,model,d2_original_accuracy,d2_conditional_permuted_accuracy,d2_conditional_permutation_drop,d4_n_consistent,d4_n_contradictory,d4_accuracy_consistent,d4_accuracy_contradictory,d4_accuracy_gap,d6_measure,d6_value,d6_split_count,d6_note
0.0,7,logistic_regression,0.9085,0.9085,0.0,982,1018,0.9073319755600815,0.9096267190569745,-0.002294743496892959,normalized_absolute_standardized_coefficient,0.0005960031868065066,,Within-model normalized coefficient; not cross-family comparable.
0.0,7,rbf_svm,0.9075,0.905,0.0024999999999999467,982,1018,0.905295315682281,0.9096267190569745,-0.004331403374693399,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.0,7,random_forest,0.9065,0.9015,0.0050000000000000044,982,1018,0.9022403258655805,0.9106090373280943,-0.008368711462513834,impurity_importance_fraction,0.04288503113067565,13432.0,Native impurity importance and split count; audit only.
0.0,7,gradient_boosting,0.8985,0.897,0.0014999999999999458,982,1018,0.8971486761710794,0.899803536345776,-0.002654860174696627,private_histgb_gain_fraction,0.038919698854202746,973.0,Audit based on sklearn private tree nodes; version-sensitive.
0.0,7,mlp,0.911,0.909,0.0020000000000000018,982,1018,0.9073319755600815,0.9145383104125737,-0.007206334852492224,normalized_first_layer_absolute_weight,0.19477762744059898,,First-layer weight audit; not a causal or cross-family importance.
0.0,8,logistic_regression,0.911,0.909,0.0020000000000000018,939,1061,0.9211927582534611,0.9019792648444863,0.019213493408974824,normalized_absolute_standardized_coefficient,0.005901976655017428,,Within-model normalized coefficient; not cross-family comparable.
0.0,8,rbf_svm,0.904,0.905,-0.0010000000000000009,939,1061,0.9169329073482428,0.8925541941564562,0.02437871319178664,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.0,8,random_forest,0.902,0.9075,-0.005499999999999949,939,1061,0.9137380191693291,0.8916116870876531,0.022126332081675915,impurity_importance_fraction,0.04295394363293536,13599.0,Native impurity importance and split count; audit only.
0.0,8,gradient_boosting,0.8955,0.903,-0.007500000000000062,939,1061,0.9116080937167199,0.88124410933082,0.030363984385899934,private_histgb_gain_fraction,0.039677453310499364,961.0,Audit based on sklearn private tree nodes; version-sensitive.
0.0,8,mlp,0.9055,0.9075,-0.0020000000000000018,939,1061,0.9148029818956337,0.8972667295004713,0.017536252395162433,normalized_first_layer_absolute_weight,0.18840665794637274,,First-layer weight audit; not a causal or cross-family importance.
