rho_train,replicate,metric,model,score,rank,is_best
0.5,7,iid_test,gradient_boosting,0.926,5.0,False
0.5,7,iid_test,logistic_regression,0.939,1.0,True
0.5,7,iid_test,mlp,0.9356666666666666,2.5,False
0.5,7,iid_test,random_forest,0.9263333333333333,4.0,False
0.5,7,iid_test,rbf_svm,0.9356666666666666,2.5,False
0.5,8,iid_test,gradient_boosting,0.9233333333333333,5.0,False
0.5,8,iid_test,logistic_regression,0.9333333333333333,2.0,False
0.5,8,iid_test,mlp,0.9336666666666666,1.0,True
0.5,8,iid_test,random_forest,0.9266666666666666,4.0,False
0.5,8,iid_test,rbf_svm,0.9296666666666666,3.0,False
0.5,9,iid_test,gradient_boosting,0.9193333333333333,5.0,False
0.5,9,iid_test,logistic_regression,0.936,1.0,True
0.5,9,iid_test,mlp,0.9323333333333333,3.0,False
0.5,9,iid_test,random_forest,0.9206666666666666,4.0,False
0.5,9,iid_test,rbf_svm,0.934,2.0,False
0.5,0,average_ood,gradient_boosting,0.8493333333333333,4.0,False
0.5,0,average_ood,logistic_regression,0.8646,1.0,True
0.5,0,average_ood,mlp,0.8543333333333333,2.0,False
0.5,0,average_ood,random_forest,0.8360666666666667,5.0,False
0.5,0,average_ood,rbf_svm,0.8530666666666666,3.0,False
0.5,1,average_ood,gradient_boosting,0.8502666666666666,3.0,False
0.5,1,average_ood,logistic_regression,0.8692,1.0,True
0.5,1,average_ood,mlp,0.8073333333333335,5.0,False
0.5,1,average_ood,random_forest,0.8403333333333334,4.0,False
0.5,1,average_ood,rbf_svm,0.8519333333333332,2.0,False
0.5,2,average_ood,gradient_boosting,0.8396666666666667,2.0,False
0.5,2,average_ood,logistic_regression,0.8549333333333335,1.0,True
0.5,2,average_ood,mlp,0.7852,5.0,False
0.5,2,average_ood,random_forest,0.8306666666666667,4.0,False
0.5,2,average_ood,rbf_svm,0.8390000000000001,3.0,False
0.5,3,average_ood,gradient_boosting,0.8440666666666665,3.0,False
0.5,3,average_ood,logistic_regression,0.8608666666666667,1.0,True
0.5,3,average_ood,mlp,0.8522666666666667,2.0,False
0.5,3,average_ood,random_forest,0.8338000000000001,5.0,False
0.5,3,average_ood,rbf_svm,0.8429333333333334,4.0,False
0.5,4,average_ood,gradient_boosting,0.8437333333333333,2.0,False
0.5,4,average_ood,logistic_regression,0.8597333333333333,1.0,True
0.5,4,average_ood,mlp,0.8332666666666666,5.0,False
0.5,4,average_ood,random_forest,0.8360666666666665,4.0,False
0.5,4,average_ood,rbf_svm,0.8428666666666667,3.0,False
0.5,5,average_ood,gradient_boosting,0.8527333333333333,4.0,False
0.5,5,average_ood,logistic_regression,0.8707333333333332,1.0,True
0.5,5,average_ood,mlp,0.8679333333333332,2.0,False
0.5,5,average_ood,random_forest,0.845,5.0,False
0.5,5,average_ood,rbf_svm,0.8544666666666666,3.0,False
0.5,6,average_ood,gradient_boosting,0.8461333333333332,4.0,False
0.5,6,average_ood,logistic_regression,0.8614666666666666,2.0,False
0.5,6,average_ood,mlp,0.8623333333333333,1.0,True
0.5,6,average_ood,random_forest,0.8438666666666667,5.0,False
0.5,6,average_ood,rbf_svm,0.8471333333333334,3.0,False
0.5,7,average_ood,gradient_boosting,0.8510666666666667,2.0,False
0.5,7,average_ood,logistic_regression,0.8623333333333333,1.0,True
0.5,7,average_ood,mlp,0.8458,4.0,False
0.5,7,average_ood,random_forest,0.8423999999999999,5.0,False
0.5,7,average_ood,rbf_svm,0.8492666666666666,3.0,False
0.5,8,average_ood,gradient_boosting,0.8560000000000001,4.0,False
0.5,8,average_ood,logistic_regression,0.8695333333333333,2.0,False
0.5,8,average_ood,mlp,0.8712666666666667,1.0,True
0.5,8,average_ood,random_forest,0.8519333333333334,5.0,False
0.5,8,average_ood,rbf_svm,0.8580666666666665,3.0,False
0.5,9,average_ood,gradient_boosting,0.8398666666666668,4.0,False
0.5,9,average_ood,logistic_regression,0.8556000000000001,1.0,True
0.5,9,average_ood,mlp,0.8435333333333332,3.0,False
0.5,9,average_ood,random_forest,0.8330666666666666,5.0,False
0.5,9,average_ood,rbf_svm,0.8436666666666668,2.0,False
