rho_train,replicate,model,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess
0.7,0,gradient_boosting,0.0755,0.07920083786225847,0.2749826529560875,0.017,0.01573063517747258,0.0003001166577384362,0.058499999999999996,0.06347020268478588
0.7,0,mlp,0.0745,0.07475243286846807,0.2749826529560875,0.005,0.005750150439120253,0.0003001166577384362,0.06949999999999999,0.06900228242934782
0.7,1,logistic_regression,0.0615,0.06896519240244049,0.27904122661196107,0.002,0.0015247968509757373,0.00014568650008595085,0.0595,0.06744039555146475
0.7,1,rbf_svm,0.065,0.06935960377952811,0.27904122661196107,0.0065,0.010002526189823209,0.00014568650008595085,0.0585,0.059357077589704904
0.7,1,random_forest,0.081,0.0956647246031746,0.27904122661196107,0.004,0.010076942063492064,0.00014568650008595085,0.077,0.08558778253968254
0.7,1,gradient_boosting,0.0715,0.0762569451063189,0.27904122661196107,0.0115,0.017906495646653257,0.00014568650008595085,0.06,0.05835044945966565
0.7,1,mlp,0.07,0.0862841356521163,0.27904122661196107,0.0075,0.008556931247772445,0.00014568650008595085,0.0625,0.07772720440434386
0.7,2,logistic_regression,0.0865,0.08544701113386242,0.2927225880118679,0.0025,0.0020186278024893435,0.0010306740088690258,0.08399999999999999,0.08342838333137308
0.7,2,rbf_svm,0.0925,0.08839703997483761,0.2927225880118679,0.003,0.008569640847751966,0.0010306740088690258,0.0895,0.07982739912708564
0.7,2,random_forest,0.097,0.1071725911976912,0.2927225880118679,0.0045,0.00951775642135642,0.0010306740088690258,0.0925,0.09765483477633477
0.7,2,gradient_boosting,0.081,0.08701163659403094,0.2927225880118679,0.011,0.012609520099818815,0.0010306740088690258,0.07,0.07440211649421212
0.7,2,mlp,0.087,0.08592749495350341,0.2927225880118679,0.0025,0.004657069627051614,0.0010306740088690258,0.08449999999999999,0.08127042532645179
0.7,3,logistic_regression,0.0745,0.0803612239638293,0.30333166435143166,0.0005,0.0005128437355533779,0.00038766512038701517,0.074,0.07984838022827592
0.7,3,rbf_svm,0.0775,0.08267411326275632,0.30333166435143166,0.0045,0.010561028762230794,0.00038766512038701517,0.073,0.07211308450052553
0.7,3,random_forest,0.1005,0.10720939999999998,0.30333166435143166,0.005,0.008876579365079365,0.00038766512038701517,0.0955,0.09833282063492062
0.7,3,gradient_boosting,0.09,0.0901815950242572,0.30333166435143166,0.012,0.009810915280496992,0.00038766512038701517,0.078,0.0803706797437602
0.7,3,mlp,0.087,0.08950718815499237,0.30333166435143166,0.004,0.006394996632350383,0.00038766512038701517,0.08299999999999999,0.08311219152264199
0.7,4,logistic_regression,0.0675,0.07304655377664017,0.2999936169456514,0.0055,0.005392550898394406,0.0007554864096686043,0.062000000000000006,0.06765400287824576
0.7,4,rbf_svm,0.0695,0.07582006553745517,0.2999936169456514,0.009,0.010624289924536288,0.0007554864096686043,0.060500000000000005,0.06519577561291888
