rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,1,rbf_svm,stable_only,ood,-0.6,-0.6,0.9153333333333333,0.9151938277506643,0.9722640104056652,0.06438921575029892,0.21516873483752041
0.0,1,rbf_svm,stable_only,ood,-0.9,-0.9,0.9133333333333333,0.913327961479094,0.9767186563194028,0.06028960711287715,0.1974409874301122
0.0,1,random_forest,all_features,iid_validation,0.0,,0.908,0.9075136977583482,0.9722507018002768,0.0659698501115825,0.21902422825262233
0.0,1,random_forest,all_features,iid_test,0.0,,0.8976666666666666,0.8975859268416609,0.9695607005639771,0.07002974022800125,0.23037900434264091
0.0,1,random_forest,all_features,ood,0.3,0.3,0.894,0.8945472335883295,0.9621906689201211,0.0762754427206329,0.2534080259454455
0.0,1,random_forest,all_features,ood,-0.3,-0.3,0.9053333333333333,0.905467638691323,0.9698744221194879,0.0684393057983402,0.22831726991767845
0.0,1,random_forest,all_features,ood,-0.6,-0.6,0.907,0.9068326088648264,0.9678729530522173,0.06945783032311567,0.23256273226910154
0.0,1,random_forest,all_features,ood,-0.9,-0.9,0.914,0.9140004062224028,0.9747193220974766,0.06366016016532777,0.21405521927564383
0.0,1,random_forest,stable_only,iid_validation,0.0,,0.9085,0.9082738769942804,0.9727247489704758,0.06546013364232565,0.21666601308398156
0.0,1,random_forest,stable_only,iid_test,0.0,,0.9033333333333333,0.9033237181154172,0.9704126453229278,0.0687138630308936,0.22600794247338846
0.0,1,random_forest,stable_only,ood,0.3,0.3,0.897,0.8974693115104074,0.9653242305639566,0.07382696958850106,0.2433454171629278
0.0,1,random_forest,stable_only,ood,-0.3,-0.3,0.9026666666666666,0.9028360597439544,0.9700931276671408,0.06870366238077998,0.2263762765006569
0.0,1,random_forest,stable_only,ood,-0.6,-0.6,0.908,0.9079343197963335,0.9674498337984014,0.07009742371082792,0.23293756264610754
0.0,1,random_forest,stable_only,ood,-0.9,-0.9,0.9103333333333333,0.910330404591291,0.9734339881928836,0.06480487646424125,0.2155274019488297
0.0,1,gradient_boosting,all_features,iid_validation,0.0,,0.9065,0.9062223451604594,0.9729893334375634,0.0684975739126959,0.22365334117862518
0.0,1,gradient_boosting,all_features,iid_test,0.0,,0.8993333333333333,0.8992762581465967,0.9692904253678165,0.07223925508470508,0.2369029740661129
0.0,1,gradient_boosting,all_features,ood,0.3,0.3,0.8906666666666667,0.8911937377690802,0.9631916029176304,0.0803405710784972,0.27020893749775426
0.0,1,gradient_boosting,all_features,ood,-0.3,-0.3,0.905,0.9050853485064011,0.9708539295874823,0.0702562291503343,0.23547398780761744
0.0,1,gradient_boosting,all_features,ood,-0.6,-0.6,0.9073333333333333,0.9072361619103735,0.9695367477849052,0.07049146086432768,0.24090809882660388
0.0,1,gradient_boosting,all_features,ood,-0.9,-0.9,0.912,0.9119999608888716,0.9755635446949087,0.06347325117383129,0.20937731933431686
0.0,1,gradient_boosting,stable_only,iid_validation,0.0,,0.909,0.9086101197545378,0.973159709798946,0.06730440632687826,0.21962397553042762
0.0,1,gradient_boosting,stable_only,iid_test,0.0,,0.8996666666666666,0.8996143244075838,0.9693077620991492,0.07171267495053457,0.2356194115802462
0.0,1,gradient_boosting,stable_only,ood,0.3,0.3,0.889,0.889534780288205,0.9644622842910514,0.07952492368959503,0.26142935434945813
0.0,1,gradient_boosting,stable_only,ood,-0.3,-0.3,0.9023333333333333,0.9024982219061166,0.969566145092461,0.07203525736262326,0.2391729511246969
0.0,1,gradient_boosting,stable_only,ood,-0.6,-0.6,0.9016666666666666,0.9016364465097664,0.967352669786884,0.07408192433452344,0.24993604167322706
0.0,1,gradient_boosting,stable_only,ood,-0.9,-0.9,0.9053333333333333,0.9053315134806726,0.9720755431446858,0.06884620459807272,0.22483127294178143
0.0,1,mlp,all_features,iid_validation,0.0,,0.9145,0.9142400562843321,0.9760430791618685,0.0676576511821036,0.23464631602339148
0.0,1,mlp,all_features,iid_test,0.0,,0.9043333333333333,0.90421655977905,0.9732480899589653,0.07161498368472109,0.24440727993027617
0.0,1,mlp,all_features,ood,0.3,0.3,0.896,0.8966376089663761,0.9684437822451522,0.0773587231008393,0.2588147820151008
0.0,1,mlp,all_features,ood,-0.3,-0.3,0.9113333333333333,0.9114953769559033,0.9735788584637269,0.07031588540522392,0.24193452509937569
0.0,1,mlp,all_features,ood,-0.6,-0.6,0.9126666666666666,0.9125101444119577,0.973062222765728,0.06967598840738383,0.23922206308131724
0.0,1,mlp,all_features,ood,-0.9,-0.9,0.9116666666666666,0.9116601829600813,0.9763622117165385,0.06734325408971484,0.23382289302532164
0.0,1,mlp,stable_only,iid_validation,0.0,,0.919,0.9191032991879061,0.9782058567375332,0.05879680038031845,0.19028354774421083
0.0,1,mlp,stable_only,iid_test,0.0,,0.907,0.9070891228014024,0.9757201300343757,0.0631638486339919,0.1997564523076594
0.0,1,mlp,stable_only,ood,0.3,0.3,0.9046666666666666,0.9049724248354385,0.9718808930795232,0.06791897947804501,0.21567528888050827
0.0,1,mlp,stable_only,ood,-0.3,-0.3,0.9156666666666666,0.9156738975817923,0.9759041607396872,0.0621593039139604,0.1996327452348431
0.0,1,mlp,stable_only,ood,-0.6,-0.6,0.9146666666666666,0.9146824382163623,0.9745243521472802,0.06301198112779663,0.20506139015349617
0.0,1,mlp,stable_only,ood,-0.9,-0.9,0.9176666666666666,0.9176655189624529,0.9781342125040944,0.059215749831406546,0.1901699074042686
0.0,2,logistic_regression,all_features,iid_validation,0.0,,0.9025,0.9025483364692396,0.9690960687638728,0.06999466912758728,0.2253839899091251
0.0,2,logistic_regression,all_features,iid_test,0.0,,0.9206666666666666,0.9206638589579714,0.9801506313789002,0.05531807091521036,0.18039599751069899
0.0,2,logistic_regression,all_features,ood,0.3,0.3,0.915,0.9146751160649572,0.9782882399975781,0.05881063290184494,0.18911149157540005
