rho_train,dataset_seed,reference_fit_id,bridge_fit_id,reference_fidelity,mlpl_fidelity,delta_fidelity_ref_minus_mlpl,delta_fidelity_mlpl_minus_ref,reference_d3,mlpl_d3,delta_d3_ref_minus_mlpl,reference_ood_gap,mlpl_ood_gap,delta_ood_gap_ref_minus_mlpl,reference_iid_accuracy,mlpl_iid_accuracy
0.0,11,rho0_seed11_width64_constant,rho0_seed11_mlp_l,0.97725,0.97975,-0.0025000000000000577,0.0025000000000000577,0.02266666666666667,0.012666666666666666,0.010000000000000002,-8.333333333332416e-05,0.00025000000000005573,-0.0003333333333333799,0.9083333333333333,0.905
0.0,12,rho0_seed12_width64_constant,rho0_seed12_mlp_l,0.98425,0.9825,0.0017499999999999183,-0.0017499999999999183,0.028666666666666667,0.025333333333333333,0.003333333333333334,-0.008666666666666684,-0.007333333333333303,-0.0013333333333333808,0.9023333333333333,0.905
0.0,13,rho0_seed13_width64_constant,rho0_seed13_mlp_l,0.983,0.98725,-0.004249999999999976,0.004249999999999976,0.024666666666666667,0.01,0.014666666666666666,-0.01066666666666663,-0.009750000000000036,-0.0009166666666665935,0.898,0.9046666666666666
0.0,14,rho0_seed14_width64_constant,rho0_seed14_mlp_l,0.98275,0.9775,0.005249999999999977,-0.005249999999999977,0.023333333333333334,0.009333333333333334,0.014,-0.003916666666666624,-0.0024166666666666503,-0.0014999999999999736,0.908,0.911
0.0,15,rho0_seed15_width64_constant,rho0_seed15_mlp_l,0.982,0.99025,-0.00824999999999998,0.00824999999999998,0.018333333333333333,0.01633333333333333,0.0020000000000000018,0.005916666666666737,0.01125000000000001,-0.005333333333333273,0.916,0.92
0.0,16,rho0_seed16_width64_constant,rho0_seed16_mlp_l,0.9855,0.9855,0.0,0.0,0.03,0.017666666666666667,0.012333333333333332,-0.006916666666666654,-0.0014166666666666772,-0.005499999999999977,0.901,0.9033333333333333
0.0,17,rho0_seed17_width64_constant,rho0_seed17_mlp_l,0.9855,0.98875,-0.003249999999999975,0.003249999999999975,0.02266666666666667,0.017333333333333333,0.005333333333333336,0.0018333333333332702,0.0060833333333333295,-0.004250000000000059,0.9106666666666666,0.9146666666666666
0.0,18,rho0_seed18_width64_constant,rho0_seed18_mlp_l,0.9855,0.98075,0.004750000000000032,-0.004750000000000032,0.019,0.011,0.008,0.00983333333333336,0.006000000000000061,0.0038333333333332997,0.916,0.915
0.0,19,rho0_seed19_width64_constant,rho0_seed19_mlp_l,0.98025,0.972,0.00824999999999998,-0.00824999999999998,0.024666666666666667,0.022,0.002666666666666668,0.004666666666666708,0.010833333333333278,-0.00616666666666657,0.915,0.9096666666666666
0.9,0,rho0p9_seed00_width64_constant,rho0p9_seed00_mlp_l,0.96225,0.96325,-0.0010000000000000009,0.0010000000000000009,0.742,0.5606666666666666,0.18133333333333335,0.43166666666666664,0.32880000000000004,0.1028666666666666,0.993,0.9896666666666667
0.9,1,rho0p9_seed01_width64_constant,rho0p9_seed01_mlp_l,0.9275,0.9735,-0.04600000000000004,0.04600000000000004,0.7553333333333333,0.481,0.2743333333333333,0.44846666666666674,0.29066666666666663,0.1578000000000001,0.9886666666666667,0.9883333333333333
0.9,2,rho0p9_seed02_width64_constant,rho0p9_seed02_mlp_l,0.9585,0.9455,0.013000000000000012,-0.013000000000000012,0.755,0.4673333333333333,0.2876666666666667,0.4613333333333333,0.3037333333333333,0.15760000000000002,0.9946666666666667,0.99
0.9,3,rho0p9_seed03_width64_constant,rho0p9_seed03_mlp_l,0.95975,0.974,-0.014249999999999985,0.014249999999999985,0.721,0.621,0.09999999999999998,0.4315333333333333,0.37746666666666656,0.05406666666666676,0.993,0.9903333333333333
0.9,4,rho0p9_seed04_width64_constant,rho0p9_seed04_mlp_l,0.971,0.97675,-0.005750000000000033,0.005750000000000033,0.7453333333333333,0.5166666666666667,0.22866666666666657,0.4434,0.3234,0.12,0.9943333333333333,0.9936666666666667
0.9,5,rho0p9_seed05_width64_constant,rho0p9_seed05_mlp_l,0.958,0.96,-0.0020000000000000018,0.0020000000000000018,0.7346666666666667,0.538,0.19666666666666666,0.43479999999999996,0.3270666666666666,0.10773333333333335,0.9926666666666667,0.9903333333333333
0.9,6,rho0p9_seed06_width64_constant,rho0p9_seed06_mlp_l,0.9725,0.971,0.0015000000000000568,-0.0015000000000000568,0.75,0.446,0.304,0.4338,0.26966666666666667,0.16413333333333335,0.9956666666666667,0.9906666666666667
