seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss
2,logistic_regression,stable_only,0.3,0.917,0.9169066820276498,0.1857608207559556
2,logistic_regression,stable_only,0.0,0.914,0.9139646489002952,0.1931378335923676
2,logistic_regression,stable_only,-0.3,0.9023333333333333,0.9021935526886022,0.20170244142949753
2,logistic_regression,stable_only,-0.6,0.911,0.9107374167283494,0.19960757641576482
2,logistic_regression,stable_only,-0.9,0.9106666666666666,0.9107621267234431,0.20173906796528301
2,rbf_svm,stable_only,0.9,0.9033333333333333,0.903402279210131,0.21726630632832758
2,rbf_svm,stable_only,0.6,0.9073333333333333,0.9073015714965823,0.21570337927934435
2,rbf_svm,stable_only,0.3,0.917,0.9168800136542072,0.19516351715083324
2,rbf_svm,stable_only,0.0,0.914,0.9139646489002952,0.20451355165215615
2,rbf_svm,stable_only,-0.3,0.9033333333333333,0.9031703170317031,0.21248222846171416
2,rbf_svm,stable_only,-0.6,0.9063333333333333,0.9060275864032341,0.2124957835376575
2,rbf_svm,stable_only,-0.9,0.9096666666666666,0.9097577433534891,0.2134577138979566
2,random_forest,stable_only,0.9,0.8986666666666666,0.8987348636825732,0.23591758177590202
2,random_forest,stable_only,0.6,0.9016666666666666,0.90158754360144,0.23300877864359054
2,random_forest,stable_only,0.3,0.906,0.9058766427718041,0.21397612280872294
2,random_forest,stable_only,0.0,0.9046666666666666,0.9046421709008365,0.22446867274951424
2,random_forest,stable_only,-0.3,0.8973333333333333,0.8972163883054972,0.23189972228140054
2,random_forest,stable_only,-0.6,0.8993333333333333,0.8990900614929113,0.22986745969887973
2,random_forest,stable_only,-0.9,0.9006666666666666,0.9008365342172677,0.22754935592908365
2,gradient_boosting,stable_only,0.9,0.894,0.8940843397540672,0.2619731896735034
2,gradient_boosting,stable_only,0.6,0.8993333333333333,0.8992749503364762,0.2559884909803288
2,gradient_boosting,stable_only,0.3,0.907,0.9069113756613757,0.23639094520109286
2,gradient_boosting,stable_only,0.0,0.8966666666666666,0.8965953442725254,0.24612713828123484
2,gradient_boosting,stable_only,-0.3,0.896,0.8959029236256959,0.2554227570020635
2,gradient_boosting,stable_only,-0.6,0.896,0.8958908643170301,0.25229050194796626
2,gradient_boosting,stable_only,-0.9,0.9006666666666666,0.9008534258163199,0.24673626531163473
2,mlp,stable_only,0.9,0.9036666666666666,0.9035456355441918,0.2084131773753404
2,mlp,stable_only,0.6,0.9073333333333333,0.9074367042889993,0.20592593697116512
2,mlp,stable_only,0.3,0.9183333333333333,0.9183041047960403,0.19073759646717917
2,mlp,stable_only,0.0,0.9126666666666666,0.9127525578587903,0.19755733129370362
2,mlp,stable_only,-0.3,0.905,0.9049804980498051,0.20612281589682577
2,mlp,stable_only,-0.6,0.911,0.9109918578830496,0.20260305664459732
2,mlp,stable_only,-0.9,0.9096666666666666,0.9096226105610723,0.20605842147787826
3,logistic_regression,all_features,0.9,0.9933333333333333,0.9932946857584086,0.01909237355287338
3,logistic_regression,all_features,0.6,0.8933333333333333,0.8933814950671557,0.37794887593326043
3,logistic_regression,all_features,0.3,0.7763333333333333,0.776318129357976,0.9822562497429765
3,logistic_regression,all_features,0.0,0.681,0.6808760964990288,1.5559346809775592
3,logistic_regression,all_features,-0.3,0.5696666666666667,0.5696526478975402,2.2558226875141667
3,logistic_regression,all_features,-0.6,0.45666666666666667,0.45724087233521193,2.8497993007378937
3,logistic_regression,all_features,-0.9,0.26066666666666666,0.2606734491881996,3.380913621630475
3,rbf_svm,all_features,0.9,0.994,0.9939521479543323,0.0194671412685071
3,rbf_svm,all_features,0.6,0.895,0.8950822229600266,0.4823465769242633
3,rbf_svm,all_features,0.3,0.777,0.7771930588923606,1.0685991980369367
3,rbf_svm,all_features,0.0,0.6886666666666666,0.6882972517270083,1.5642041325115357
3,rbf_svm,all_features,-0.3,0.574,0.5738563230242995,2.1741935396307577
3,rbf_svm,all_features,-0.6,0.46,0.46134959448660096,2.83026635946003
3,rbf_svm,all_features,-0.9,0.276,0.2760339004595113,3.905672340783428
3,random_forest,all_features,0.9,0.9903333333333333,0.9902707597355749,0.029427905183081526
3,random_forest,all_features,0.6,0.8286666666666667,0.8287325010367039,0.7812784640802949
